,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,top-a0,top-a1,top-a2,top-a3,top-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r
91,91,91,5,9,6,4,-0.529051661279677,3,7,13,14,0.9661712135368796,11,6,14,4,0.790011021403953,3,6,10,11,0.9801147325298488,3,6,14,10,0.9508775491543142,7,10,11,14,0.954914648468706,11,16,15,8,-0.3788059342270633,6,7,10,13,0.8717148393346102,3,11,13,16,0.9727026500652398,6,11,14,7,0.9768725262081563,10,7,16,4,0.7849646696907984
92,92,92,14,6,2,4,0.1001444366293154,3,13,16,11,0.9695288381667656,3,11,6,10,0.9819918137904932,3,6,10,11,0.9819918137904932,1,3,4,11,0.2511837247641949,2,10,14,16,0.46923334888976365,3,11,10,1,0.7291652661454577,3,10,13,16,0.9691720557634314,10,14,13,3,0.9705835698613682,3,11,13,7,0.8744337142063607,6,10,14,11,0.9819793845038874
93,93,93,2,5,13,12,-0.9916799612897425,3,6,11,13,0.9579474409948336,16,2,3,13,0.6264152983006145,3,6,10,11,0.9820436008719156,1,3,10,11,0.728419214840138,3,6,11,13,0.9579474409948336,3,6,12,14,0.5733564678600467,6,7,3,12,0.7448401322625541,5,7,10,16,0.8238854568418227,3,6,11,13,0.9579474409948336,3,7,11,6,0.974172103839821
94,94,94,2,5,6,14,0.1815852337137877,7,16,15,6,0.6354159982730802,4,13,14,7,0.7526778956998317,3,6,10,11,0.9803115180161048,3,7,10,16,0.9754385030113357,6,7,10,11,0.9193393095620865,16,7,6,10,0.9749278127558216,11,13,3,4,0.7804418833073549,3,10,11,6,0.9803115180161048,11,14,16,10,0.911045993608015,3,6,13,14,0.9631075636695033
95,95,95,5,7,14,11,0.8272297386331183,2,5,10,13,0.217144472711438,6,7,10,13,0.8729393296531421,3,6,10,11,0.98185653943977,3,10,13,7,0.872939714029157,3,15,14,6,0.5691428690912459,3,10,11,13,0.8888813141805681,3,10,11,13,0.8888813141805681,10,7,13,6,0.8729393296531421,3,6,7,10,0.9735975935666094,5,6,10,13,0.8182776532745886
96,96,96,1,13,14,7,0.5781770571147349,1,2,16,14,-0.6983828636726985,2,16,6,1,-0.38129922217302,3,6,10,11,0.981672016863282,6,10,11,14,0.9824026302881653,3,16,8,5,0.10040919856940245,3,6,7,10,0.9734264368322594,3,6,7,11,0.9737868678493666,5,10,11,14,0.8501535941887104,3,6,7,11,0.9737868678493666,3,6,11,13,0.9575517679938358
97,97,97,4,15,16,12,-1.263295454370708,4,5,6,7,0.3857594135430893,5,7,10,16,0.8253660350561283,3,6,10,11,0.981595328265538,4,5,7,13,0.27986516357702373,1,3,6,10,0.7439969568662,10,11,16,2,0.6804135464036618,3,6,11,14,0.94847984378889,3,6,10,11,0.9815953282655379,3,6,11,16,0.9463310057070379,3,6,8,10,0.7368933834000604
98,98,98,13,7,16,2,0.6187536437965206,11,15,2,14,-0.2835450028568906,4,5,6,11,0.4279335887395483,3,6,10,11,0.9797872686563815,3,7,11,13,0.8721654883958341,10,11,12,13,0.586767010858136,3,6,11,14,0.9512653059931071,11,13,7,3,0.8721654883958341,11,14,16,4,0.6648775302315928,3,4,6,7,0.8212159754802222,3,7,11,6,0.9720070445939637
99,99,99,3,5,9,11,0.2914781947522236,11,16,2,9,-0.3774465983791599,10,13,8,7,0.5360906175745079,3,6,10,11,0.9816567787118556,6,12,16,3,0.5698098852686752,1,3,11,14,0.6358029367033136,10,16,11,7,0.9531915343814357,2,11,13,1,-0.2885366798127089,6,10,11,3,0.9816567787118555,3,10,11,16,0.9815292393135355,6,10,12,7,0.7233125099789348
100,100,100,6,14,8,9,-0.5362635741736728,3,5,13,11,0.820500765274128,13,14,11,10,0.9332807750374956,3,6,10,11,0.9815934081955774,3,10,11,14,0.983116512840169,14,16,7,2,0.464084570549648,3,6,10,11,0.9815934081955774,6,7,14,16,0.839307887550357,3,10,14,6,0.9486671882430475,3,6,7,11,0.9736961654094615,7,10,11,15,0.6389716157624741
101,101,101,6,14,13,10,0.973257429362016,5,10,11,13,0.7350392407650967,3,7,16,14,0.8471011951961941,3,6,10,11,0.9798766052979986,6,10,16,13,0.9719982812349414,5,6,10,11,0.868255259185288,6,11,13,14,0.9736092520597522,3,7,14,15,0.6437178196554719,6,13,16,5,0.824733964809196,6,16,4,11,0.7875887600893743,6,7,10,16,0.9753978427939156
102,102,102,4,5,6,8,-0.5271443682561663,11,4,9,2,-1.0143112307651043,3,16,4,6,0.7079400684535929,3,6,10,11,0.9816110908266454,4,5,10,14,0.35036487727745635,10,6,15,3,0.7455842702647557,7,6,13,3,0.9491560588687178,3,5,6,10,0.8787864032757925,3,10,11,13,0.8888473012058377,3,6,7,10,0.9733783928402182,6,10,13,14,0.9706266747864232
103,103,103,2,8,10,13,-0.2858093691550594,2,3,9,11,-0.1455993631198056,6,7,10,11,0.918402780530198,3,6,10,11,0.9798463820176172,6,14,10,13,0.9731623260103641,5,10,11,14,0.8558579063739366,3,6,13,16,0.9621074990733925,3,5,14,16,0.6096398626669535,3,10,11,13,0.8865890122537547,6,16,11,3,0.9495591495911349,3,6,10,11,0.9798463820176173
104,104,104,9,16,13,10,0.5609155536056625,2,14,16,5,-0.0794155090417945,14,15,16,3,0.3425151350719089,3,6,10,11,0.9815558294710246,13,14,16,5,0.7048010544412013,6,14,11,10,0.9825562795390266,7,11,3,14,0.9758368104764995,3,6,7,10,0.9733304097183537,6,14,5,10,0.8300691418909644,3,7,11,10,0.9212692394097443,3,6,13,14,0.9603077394731728
105,105,105,9,6,7,15,-0.2100098274272066,3,7,11,13,0.87137660030822,10,3,13,16,0.9732551197947475,3,6,10,11,0.9793492079809628,3,13,8,11,0.6630291282767284,3,11,15,7,0.7223195573377277,6,10,11,14,0.9846933699721316,6,16,12,11,0.6565478493686802,13,16,14,9,0.38430501454702903,3,6,13,14,0.9649278674190318,3,6,7,14,0.9518854479973029
106,106,106,13,16,8,2,-0.4218338821186651,1,3,4,6,0.2319585197901417,3,11,14,12,0.6517842886808703,3,6,10,11,0.9813452378045112,3,10,6,16,0.946552421213782,3,6,10,13,0.9574591269377186,3,7,14,6,0.948501724053173,6,7,10,11,0.921187455039503,5,6,7,11,0.845099398784705,3,5,6,7,0.8648816636002534,3,6,7,10,0.9731740572483281
107,107,107,3,9,16,11,0.5991822536987081,7,11,13,5,0.704131781795023,4,6,7,12,0.2460060007968652,3,6,10,11,0.9810824525424492,6,10,3,8,0.7397852648783613,3,7,9,11,0.7023191650892234,3,4,5,6,0.3973502112282513,3,6,7,10,0.9728954088331956,3,10,11,13,0.8885132612324672,3,6,10,14,0.9492958610460561,5,10,3,14,0.8336865186183265
108,108,108,1,5,7,10,0.2611522920492518,7,11,15,14,0.6575824985874223,7,10,13,2,0.5738497258363958,3,6,10,11,0.9792547635293506,3,10,11,16,0.98396304877882,6,11,13,14,0.9745501645189933,3,6,7,13,0.948178082673669,3,10,11,7,0.9177215344205636,3,6,10,11,0.9792547635293506,3,11,13,14,0.975038859996561,3,6,10,13,0.9562312566102696
109,109,109,3,13,14,9,0.5846224339910462,1,5,6,7,0.3005365166594902,1,4,5,10,-0.4897454653207667,3,6,10,11,0.97932543144014,3,11,14,12,0.6624308508644858,3,14,16,9,0.2886014588394811,3,11,13,15,0.6658909571834548,3,7,10,9,0.7062447084234611,5,13,14,10,0.8236504756999578,3,6,13,16,0.9632475826081515,6,7,10,16,0.9759355924180342
110,110,110,1,7,11,6,0.7146413838647185,15,14,12,7,-0.3502801813596181,3,5,9,10,0.295485277949143,3,6,10,11,0.9813204050763076,3,7,10,13,0.8732031634360509,3,13,8,6,0.6935358470207595,6,7,10,13,0.8732133936708782,10,11,16,7,0.9536811572920988,3,6,7,14,0.9485720847484241,6,16,10,14,0.8395356025699662,10,13,16,3,0.970539458064292
111,111,111,3,13,4,14,0.7780151134138231,1,2,3,14,-0.359824229406996,3,6,2,14,0.5987208176475654,3,6,10,11,0.9811188808079924,10,13,16,2,0.6277578618736008,6,10,14,13,0.971807485105616,4,11,6,13,0.7791810103762231,7,11,14,6,0.9758554094907176,6,7,10,11,0.9208794075354,3,6,7,10,0.9729602070607943,3,13,9,16,0.5680592429766241
112,112,112,9,10,14,5,0.1467937635235816,5,4,13,14,0.3194540047323077,11,8,6,13,0.653206132316713,3,6,10,11,0.9815082840891224,10,9,14,13,0.5672894813241584,7,14,9,11,0.6096256533700174,13,14,6,3,0.9605239013048109,6,10,16,14,0.8390327343858683,7,10,11,13,0.7492084979338456,3,6,13,16,0.9585066167614474,3,6,11,16,0.9464931729689107
113,113,113,6,14,16,9,0.2699587462795173,7,10,11,14,0.9545620993092736,11,13,16,6,0.9705896764895162,3,6,10,11,0.9811636318880198,7,10,6,8,0.7096029097657474,6,10,5,13,0.8211464848715533,7,11,13,14,0.9198156738108035,3,7,11,13,0.8737099646351828,3,7,10,11,0.9208814087867804,3,13,16,10,0.9707520486426254,6,11,14,16,0.8401285156832156
114,114,114,11,13,12,15,-0.2930973005917181,3,14,4,10,0.7937441200402591,4,7,13,11,0.6624939169710286,3,6,10,11,0.9791932896542812,3,5,10,11,0.8698815404689318,3,11,16,10,0.9840223459514592,1,3,6,11,0.75393722905116,3,6,10,16,0.9504477782987201,3,6,11,14,0.9524198761132362,3,6,7,11,0.9713810609813304,6,7,8,10,0.714858444165297
115,115,115,16,4,13,5,0.3319830666133756,3,4,13,14,0.7859835224951887,3,4,5,6,0.4059777401637968,3,6,10,11,0.9789333428192224,3,10,11,14,0.9855772524690884,7,10,11,16,0.954353768044166,3,16,11,7,0.9770629184940725,3,7,11,14,0.9783800025889435,16,10,11,7,0.954353768044166,3,6,10,16,0.9508375495913877,6,7,13,3,0.9477847687513586
116,116,116,9,12,14,13,-0.4752046026028367,1,4,5,10,-0.4995449499740405,3,6,10,13,0.9568742725720798,3,6,10,11,0.9807363661041352,3,6,7,10,0.972535651205317,7,13,16,12,0.5946496868401944,3,6,13,14,0.9622085640232355,3,5,6,7,0.8653583019395039,3,6,14,16,0.7272014231646489,3,7,11,16,0.975329280928016,3,6,16,10,0.947954806930191
117,117,117,3,5,15,6,0.3117819335260958,6,10,11,16,0.983841775572772,3,6,7,13,0.9477085618179176,3,6,10,11,0.978912450398899,6,10,11,16,0.983841775572772,7,14,16,6,0.8495001340561036,3,6,10,13,0.9557980435204394,7,11,16,3,0.9771256911990405,13,16,6,11,0.9736188318595868,3,11,13,14,0.9753021982667138,3,11,16,7,0.9771256911990405
118,118,118,16,12,14,5,-0.0799261195376384,12,13,15,6,-0.2280637640457379,1,7,10,3,0.7202496282764517,3,6,10,11,0.9788488730280016,3,13,10,11,0.8854431459040727,3,6,7,11,0.971017173874521,6,13,10,14,0.9744670503362675,6,11,13,16,0.9736219011640501,7,11,14,4,0.7907021055810529,3,5,7,14,0.8264034890590104,3,6,14,10,0.953075456432331
119,119,119,14,16,2,1,-0.6884352056726066,6,7,8,11,0.709212055177131,7,14,16,11,0.9023336032851996,3,6,10,11,0.9810172923032684,6,10,11,13,0.8879952021588714,3,5,13,6,0.8574696900925367,6,11,13,15,0.6589487080729779,7,10,13,14,0.9185930682322586,3,6,7,10,0.9727851940468835,3,6,7,10,0.9727851940468835,6,14,10,16,0.8412627735567666
120,120,120,7,11,16,3,0.9769201437760756,5,7,4,1,-0.530392154134582,3,6,8,13,0.7015700159657434,3,6,10,11,0.9791178357705742,3,4,13,16,0.7823751443828303,7,10,11,14,0.9549283859952555,3,6,10,14,0.9526560116868356,6,10,15,16,0.650077975985575,3,7,10,11,0.9172465371208316,3,5,6,7,0.8675717689066206,3,10,11,13,0.8857867153773
121,121,121,3,6,16,10,0.9470899622724644,3,11,13,2,0.6864048765620003,3,16,11,4,0.7844469911191579,3,6,10,11,0.98113336625763,4,6,11,14,0.7859196695066875,7,10,16,11,0.9536126319179914,3,16,7,5,0.8161010934572714,3,10,13,14,0.9719776354970698,3,6,7,12,0.7492041241761525,6,7,10,11,0.9206891889182245,3,13,14,16,0.8665098751302909
122,122,122,6,11,14,10,0.9832132358317284,6,11,16,14,0.8412763151820183,16,4,10,3,0.7844084301421477,3,6,10,11,0.980942978363467,1,3,8,13,-0.2903373988415392,3,6,7,10,0.9727387445712,3,4,6,7,0.8185199163896252,3,6,7,12,0.7495456699138424,6,7,11,14,0.9759825505084158,3,6,7,10,0.9727387445712,3,11,7,6,0.9730958688592396
123,123,123,3,7,14,16,0.850098966818478,3,13,14,11,0.97509497784277,13,14,16,15,0.4512569957001393,3,6,10,11,0.9790003892497487,7,11,16,14,0.9083542006203097,13,14,7,11,0.9208398471990891,7,10,11,13,0.7444692477703552,3,11,6,10,0.9790003892497487,3,10,11,14,0.9855260528509586,3,6,10,14,0.9527606649084797,5,6,11,13,0.823767083785986
124,124,124,6,15,9,11,-0.204685532160791,3,6,10,11,0.9808814728125076,8,10,16,12,-0.3778051246140128,3,6,10,11,0.9808814728125076,5,11,14,6,0.8333068263322985,6,10,13,9,0.6455988724427583,6,16,13,11,0.9708623041646675,3,11,14,5,0.8347143922235278,1,3,10,11,0.7323067068980142,3,6,7,10,0.9726695205230156,3,6,7,5,0.8649847806331552
125,125,125,2,3,7,10,0.7409567246085582,11,14,3,10,0.98392340759253,5,6,7,10,0.8448331501181798,3,6,10,11,0.980761603234826,13,14,16,8,0.398849904956466,3,6,7,10,0.9726094558204273,6,10,14,15,0.6470565568325428,3,14,1,12,-0.3928917488932986,3,5,10,14,0.8351922717061985,6,10,13,14,0.9722878067945572,3,6,7,11,0.9729636865369184
126,126,126,13,2,6,1,-0.2152851877207191,10,14,11,7,0.9546090579882484,3,14,15,5,0.1476698235768215,3,6,10,11,0.9806658563888916,3,10,13,1,0.660426760360407,6,7,13,14,0.9647056613752302,3,6,11,7,0.9728324612751571,6,5,3,8,0.2889822461426813,3,10,14,16,0.8434693185080262,3,6,7,10,0.9724766363575897,3,6,10,11,0.9806658563888917
127,127,127,5,9,10,11,0.2810868483567184,16,11,15,13,0.6154739315862015,4,7,10,11,0.7336725933130984,3,6,10,11,0.9785852839840162,7,10,13,15,0.5495034691602186,2,3,9,13,-0.2283245873513846,6,7,10,11,0.9168184432812359,5,10,11,13,0.7372474851878829,6,14,16,2,0.3910189440529481,6,13,10,3,0.9559297234612183,3,6,11,14,0.9529709758243913
128,128,128,7,10,2,9,-0.2140021781036922,3,6,10,16,0.9477873855578004,3,11,13,16,0.9714461285956428,3,6,10,11,0.9808470948483736,5,6,7,10,0.8437837279504687,3,11,14,1,0.6416402041162672,3,10,13,14,0.9724165071327942,3,7,14,6,0.9496632396606208,6,7,13,10,0.8721290714550123,3,11,13,6,0.957311625789825,3,6,7,10,0.9726393774608503
129,129,129,6,10,13,3,0.9555908375284856,3,11,10,6,0.9787801340104492,3,4,5,13,0.3850423336314549,3,6,10,11,0.9787801340104492,3,9,10,11,0.7249800100738826,7,3,11,14,0.9785552802578957,3,6,7,10,0.9705812590605826,6,16,3,11,0.951317431915523,3,5,13,14,0.8322969743991714,3,5,6,10,0.8827623473261678,3,7,13,14,0.9675132140644892
130,130,130,3,12,16,10,0.6482954403348729,2,7,11,10,0.6667459350725411,10,14,2,15,-0.297142191120155,3,6,10,11,0.9808945470986056,7,14,16,3,0.8430319792856142,4,14,8,10,0.11024509764045043,3,10,11,16,0.9823995855535325,3,5,10,11,0.8686847871451067,3,6,7,14,0.9494710645653651,3,7,10,14,0.9762883759224321,3,11,13,6,0.9575146303264919
131,131,131,1,5,7,10,0.2497693429773203,7,4,11,13,0.6604607629640322,3,7,11,16,0.974807869076893,3,6,10,11,0.9812397428987218,3,6,10,9,0.7283627282868044,6,13,16,11,0.9704034927301421,7,11,13,16,0.9187367238857969,6,10,14,4,0.7845417016403228,5,16,3,14,0.6004476854836803,5,7,10,3,0.8442121905051783,1,3,6,8,-0.2167454680776153
132,132,132,7,10,11,5,0.7749420160760758,10,13,7,14,0.9204157637780458,7,11,14,6,0.977687931752932,3,6,10,11,0.9792344347686144,7,10,11,16,0.9543940184350058,11,14,16,13,0.917015774658792,6,7,11,13,0.8712481287552087,6,7,13,11,0.8712481287552087,3,4,6,10,0.8378101806009807,11,14,16,13,0.917015774658792,3,6,11,14,0.9523347407704775
133,133,133,11,13,14,7,0.9213808960118894,3,7,10,13,0.8700866711908413,3,6,7,11,0.9710345950062732,3,6,10,11,0.97882758118908,6,10,11,16,0.9838503510296129,7,10,11,14,0.9551779210177431,10,11,14,3,0.9856572466822994,3,10,11,13,0.8859077321651169,3,6,7,10,0.9706840756312041,3,6,7,13,0.9479019049171563,3,6,10,14,0.9528392547463744
134,134,134,4,6,13,15,0.188322133714871,4,13,15,11,0.1320496173120187,10,11,14,13,0.934669356707523,3,6,10,11,0.9806351042102566,3,10,11,15,0.7350137715892822,3,6,7,11,0.9728102163557835,11,6,12,16,0.6490503513183059,11,13,7,3,0.8728999514036968,3,10,13,14,0.972895247257187,3,6,7,10,0.9724549561109807,6,7,11,14,0.9763854377985602
135,135,135,6,10,13,15,0.6613147887290179,3,10,11,1,0.7342229424227196,16,11,3,5,0.8337622105664639,3,6,10,11,0.980416165004196,8,13,16,11,0.5862106288418742,3,6,11,16,0.9484828386871363,6,10,11,15,0.7345317811590427,3,7,11,16,0.975712441174229,7,14,16,6,0.843938890342626,3,6,10,11,0.9804161650041959,3,6,13,14,0.96297586661675
136,136,136,10,13,16,1,0.599619551266799,4,7,14,5,0.3273766490445685,2,7,11,5,0.2916157845208992,3,6,10,11,0.980274433447578,7,11,13,15,0.5448256886340976,3,7,11,13,0.8722599309621917,2,3,6,16,0.5979593586652563,6,7,10,16,0.9750104072078638,6,7,10,16,0.9750104072078638,3,6,10,11,0.9802744334475779,3,10,13,14,0.9733186907720656
137,137,137,7,9,12,13,-0.3702477557745229,4,9,1,10,-1.075153068636264,14,16,5,10,0.7072911960573312,3,6,10,11,0.9805563418130472,11,14,16,1,0.4459764277287147,3,5,11,13,0.8223816330994993,5,11,14,16,0.7078643128946067,3,14,11,10,0.9842034100602012,6,7,14,3,0.9502448369119074,3,10,14,16,0.844121988593038,3,6,10,11,0.9805563418130472
138,138,138,16,6,10,11,0.9821941687778676,3,16,7,11,0.9754879174925916,3,5,11,12,0.3388401003906139,3,6,10,11,0.9806292194322734,8,11,16,13,0.5846636803685648,6,10,11,3,0.9806292194322734,3,10,16,7,0.975145237607663,7,10,16,3,0.975145237607663,3,13,14,10,0.9728182843984859,6,16,10,7,0.9746293929627888,3,6,10,14,0.9502345935642172
139,139,139,5,16,6,1,0.1297605681806621,9,13,16,5,0.0910238567666779,3,11,10,16,0.9823956358171096,3,6,10,11,0.9808882056337144,4,10,13,16,0.772360767263746,1,11,16,5,0.1880721473592204,7,11,10,14,0.9545632601133482,6,7,16,14,0.842019475600856,4,6,10,11,0.8245525519887326,6,10,13,16,0.970589702617074,3,6,13,14,0.9619191946491193
140,140,140,10,16,14,1,0.4548450517856378,13,16,15,11,0.609531578994673,3,11,16,2,0.6737326336681063,3,6,10,11,0.9793788498245616,3,14,16,11,0.84868007888422,6,10,11,2,0.759408220714743,6,10,11,13,0.8862914031419644,3,11,14,16,0.84868007888422,3,7,10,14,0.9778151240039289,3,11,13,16,0.9737196720703507,3,6,11,7,0.9715276363628396
141,141,141,4,6,7,3,0.8172514277896576,6,12,14,8,-0.4338801860530623,6,7,11,13,0.8736775441367687,3,6,10,11,0.981266141764702,2,3,5,6,0.32896715194923143,3,7,11,14,0.9764119394904895,3,13,14,16,0.8667649952904458,3,6,10,14,0.9492783508640484,3,10,11,6,0.9812661417647021,3,11,14,6,0.9492785035051712,3,6,7,11,0.9733932729891623
142,142,142,9,11,14,12,-0.4031699542161668,3,10,12,9,-0.1933422670312243,3,7,5,16,0.8140012367165567,3,6,10,11,0.9815882859024448,6,7,14,11,0.9756303639588023,10,11,16,7,0.953897423726511,6,11,13,15,0.6584511847848739,10,11,16,7,0.953897423726511,3,6,10,11,0.9815882859024448,3,7,11,10,0.9215661430142066,10,11,14,3,0.9834106067810157
143,143,143,1,6,7,10,0.7142299708357569,2,15,6,4,-0.9650777023702056,11,13,14,12,0.6189009493585181,3,6,10,11,0.9800141880574924,7,11,15,16,0.6470109192442302,6,7,13,16,0.9648972935983617,3,6,7,16,0.9495782122158108,5,6,7,13,0.7967028610845411,7,10,11,3,0.9185032056341588,3,16,1,8,-0.45536030871980193,3,6,10,11,0.9800141880574923
144,144,144,2,13,7,16,0.603100504237353,7,10,16,12,0.6431977046814229,7,5,13,14,0.7909984364659779,3,6,10,11,0.9818839748919288,9,11,4,13,0.09921843422373144,7,11,13,14,0.9191891892597434,3,5,7,11,0.842230387618004,3,6,11,16,0.9465808217877576,3,6,10,14,0.9487221381408915,10,11,13,16,0.9331215534146878,3,6,7,10,0.9735406315037914
145,145,145,4,7,14,16,0.6466422124568656,11,13,2,5,0.227985775259021,6,5,3,4,0.3981201405820748,3,6,10,11,0.9800269869846754,3,7,11,8,0.7122540179683983,11,7,3,9,0.703655845222048,6,11,13,14,0.9743234653685588,3,5,6,14,0.7669004416474167,3,13,7,10,0.8715222230763253,3,6,9,10,0.7319070386810983,3,5,7,10,0.8438582784738959
146,146,146,6,9,13,7,0.6209025198251173,10,15,11,4,0.2150235493930431,1,4,6,9,-1.1074463371499048,3,6,10,11,0.9822046799689136,3,7,10,11,0.922197581498467,7,10,13,16,0.9175997537556387,3,7,11,14,0.9755500948079547,6,7,10,11,0.9221782764380412,10,6,11,7,0.9221782764380412,3,6,7,11,0.9742378151525876,10,12,14,7,0.6464722438242747
147,147,147,1,2,3,11,-0.137991205800996,6,7,10,15,0.7060745519241396,1,2,5,7,-0.9475379444368984,3,6,10,11,0.9819743100691358,3,16,11,13,0.9699225816211798,6,10,8,7,0.7000253859421712,7,11,6,3,0.9739120554352987,6,14,13,11,0.9707765568069661,3,11,13,16,0.9699225816211798,13,16,10,7,0.9167435415562737,3,5,10,13,0.815703814433463
148,148,148,5,10,16,14,0.6969472257440501,7,10,9,5,0.2226964719901183,6,7,9,11,0.6949815673506519,3,6,10,11,0.9821860023018972,3,6,13,10,0.9581862526850944,7,16,10,13,0.9180336408718521,5,11,16,3,0.8257388259017453,10,14,16,3,0.8384020701806293,3,6,10,7,0.9738791502244319,3,6,7,10,0.9738791502244319,3,16,10,14,0.8384020701806293
149,149,149,2,3,8,12,-1.769616366157691,5,10,11,16,0.8438209971660449,2,3,11,8,-0.153777811794306,3,6,10,11,0.9821630294179388,3,11,13,14,0.9710810530770531,10,11,14,7,0.9538641157802605,7,10,11,14,0.9538641157802605,5,6,7,10,0.8387701905669531,13,16,3,5,0.8138331107651033,3,10,14,6,0.9484578529129065,3,5,6,7,0.8596144468640757
150,150,150,1,3,5,14,0.1217376517730863,6,7,16,14,0.8383866147512402,9,13,11,16,0.5556005110815124,3,6,10,11,0.9821143999573916,6,11,15,4,0.24330165912339763,5,7,6,13,0.7924781170012601,6,7,10,11,0.9217783924383085,3,10,11,14,0.9831074735945698,3,13,16,10,0.9697338489530509,6,7,11,14,0.9751618693036388,3,6,7,13,0.9494358887639617
151,151,151,1,3,5,10,0.3048557043989542,6,13,14,5,0.8163118712154248,7,9,13,14,0.5439586726038633,3,6,10,11,0.9820911877274364,6,7,12,16,0.6272357655059528,3,7,16,10,0.9738703811681919,3,13,6,11,0.9580779663915026,5,7,11,13,0.6993925949090637,14,16,3,11,0.8392752366281714,3,6,10,11,0.9820911877274365,6,11,14,16,0.8381893198064875
152,152,152,2,3,8,13,-0.2497682779143091,6,13,5,15,0.2325047123999839,5,6,14,10,0.82555483006354,3,6,10,11,0.9821703813137068,3,7,8,10,0.7013129686793806,16,7,10,11,0.9531483286276301,7,10,16,6,0.973201761134965,3,7,10,11,0.9218168416898235,3,6,7,13,0.9493552298815513,3,7,13,14,0.9632552466247396,3,6,7,10,0.9737728409869489
153,153,153,6,9,10,5,0.292277333746749,6,7,16,11,0.975909198646203,7,10,14,2,0.6721051458476279,3,6,10,11,0.9802060186928664,11,16,6,3,0.9499483940920571,3,5,11,16,0.8323795549910233,3,6,2,13,0.7257042443123682,11,16,7,3,0.9764253318110808,3,6,7,10,0.9718530329316677,3,6,7,10,0.9718530329316677,3,6,10,13,0.9566160629415116
154,154,154,1,4,5,10,-0.5033670824452883,7,11,15,6,0.7151661509287397,3,4,6,11,0.8343067630078164,3,6,10,11,0.9803314235164032,3,10,11,16,0.9836150115940318,3,11,16,10,0.9836150115940318,3,13,14,7,0.9665394700550662,6,16,11,13,0.9727102245361118,3,5,7,10,0.8429800372585301,6,11,13,16,0.9727102245361118,3,6,7,11,0.972393343101149
155,155,155,10,16,3,13,0.9697666872584296,4,6,16,11,0.7765737243397672,4,5,9,10,-0.547804871322179,3,6,10,11,0.9821028510633606,3,6,7,14,0.9480256270588531,10,3,6,13,0.9577502332202408,3,6,10,11,0.9821028510633606,7,10,5,11,0.7708244904768164,3,11,13,14,0.9715268487356737,3,11,13,14,0.9715268487356737,3,10,13,16,0.9697666872584296
156,156,156,4,9,14,1,-1.3488105720254715,6,7,10,3,0.9718041063627424,10,14,3,5,0.835443452125737,3,6,10,11,0.9801096291741762,3,6,11,16,0.9498413442531793,3,6,10,14,0.9518558437757868,7,10,11,13,0.7463171288844781,10,16,13,14,0.9150332696314005,3,6,7,10,0.9718041063627423,10,13,16,7,0.9194226894969798,3,6,7,16,0.9495367636866766
157,157,157,12,13,7,11,0.5555585308914492,1,2,3,9,-1.806031980507882,4,7,10,16,0.7821303713697443,3,6,10,11,0.979832869826912,11,13,14,16,0.916102608232197,6,10,13,14,0.973849412843233,3,6,11,16,0.9505860518162402,3,5,6,7,0.8637633546055492,4,6,7,14,0.7715990060773426,3,7,10,11,0.9178709045007598,3,10,11,13,0.8862882432918955
158,158,158,8,11,3,7,0.7048570720150448,3,4,14,6,0.710429662553574,3,4,11,6,0.8314094895778475,3,6,10,11,0.9814730674573594,3,6,7,10,0.9730899223220137,6,13,16,1,0.5946461490454886,3,10,11,13,0.8883071348952882,3,6,7,11,0.9734552218630891,3,10,11,14,0.9838551549648368,3,7,11,14,0.9764509581053596,6,7,10,3,0.9730899223220137
159,159,159,4,6,5,13,0.3669766356542965,10,16,1,8,-0.4173195631495539,13,2,10,6,0.6782371950464123,3,6,10,11,0.9814033395509406,11,14,6,10,0.9834068071573489,3,16,11,13,0.9710401600617323,5,6,7,11,0.8406000801864003,3,6,7,11,0.9733686659537459,6,7,10,11,0.9203543263195239,6,13,7,10,0.8719351651902583,6,13,14,11,0.9718592420896377
160,160,160,1,3,7,13,0.6431291215292232,4,5,13,8,-0.6038985254571936,3,14,12,6,0.5877396871765076,3,6,10,11,0.9796780763386695,3,10,13,14,0.974721337585208,3,7,13,6,0.9481907698086383,3,7,10,11,0.9178254783238676,3,10,11,14,0.9855746682269627,7,10,11,13,0.7452825799999874,6,7,11,10,0.9178420282843327,3,11,13,16,0.9738500319066041
161,161,161,4,7,13,5,0.2759560036370012,3,14,6,2,0.593838650149882,6,13,7,11,0.8734626875250076,3,6,10,11,0.9814846469234322,3,10,11,2,0.7522586205435273,3,7,13,14,0.9645385396681563,3,7,11,14,0.976414979707233,3,7,11,10,0.9208504406200783,3,6,11,13,0.9578322415246903,3,7,10,11,0.9208504406200783,3,10,14,6,0.9494891506457681
