,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,top-a0,top-a1,top-a2,top-a3,top-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r
40,40,40,4,6,11,5,0.4228071104323162,8,4,11,15,-1.0437789950713334,10,11,13,14,0.9333692283248683,3,6,10,11,0.9815940857921428,7,13,14,16,0.9003151914313876,4,6,10,14,0.7842610224574982,7,11,14,16,0.8994028368756561,3,10,13,16,0.9693857798385727,3,5,6,10,0.8804118054399335,3,7,10,11,0.9217164073553084,3,5,6,10,0.8804118054399335
41,41,41,5,10,16,4,0.3482159304093827,8,11,6,16,0.6119061635159748,7,10,11,16,0.9530701868642676,3,6,10,11,0.9816750565267643,3,6,7,10,0.9735038894077921,6,7,10,11,0.9216452392156442,10,16,14,6,0.8373899876874388,3,6,7,11,0.973861357714093,3,6,7,13,0.9491400599433462,7,11,14,16,0.8992535779259131,6,11,13,10,0.8889514130144811
42,42,42,8,13,11,10,0.5665545814977583,6,15,14,3,0.5809973674119204,7,9,11,14,0.6164869631004403,3,6,10,11,0.980229897036721,6,13,11,14,0.97236447989195,6,11,14,10,0.9837404083375286,6,10,11,5,0.868183461279194,6,11,13,14,0.97236447989195,6,7,11,14,0.9765166933315658,3,7,10,11,0.9188951604164238,3,6,11,13,0.9564452855624972
43,43,43,5,9,10,1,-0.9902385246084708,6,10,16,14,0.8422369659388663,7,9,11,14,0.6163377996296656,3,6,10,11,0.980542044774002,6,13,16,5,0.8227155675631012,3,10,13,7,0.8718368610047349,16,5,6,14,0.6034521444358933,3,10,13,16,0.971144825710099,3,6,10,16,0.9478861767614977,3,7,10,13,0.8718368610047349,6,7,11,13,0.8725729829797227
44,44,44,3,14,6,8,0.5406123788581608,6,10,12,16,0.6384621130032058,6,11,13,16,0.9681249163521402,3,6,10,11,0.9821040306624392,11,6,1,16,0.6266193127382154,3,11,14,16,0.8365798224808438,3,6,14,10,0.9470365717387373,3,7,10,16,0.972949085390142,7,10,11,13,0.7500573472734172,10,11,13,14,0.932466434749734,10,14,16,6,0.8355153824304029
45,45,45,1,3,4,6,0.2286467085730795,1,6,14,4,0.0620153732379338,6,11,8,16,0.6104032788134433,3,6,10,11,0.981934569301914,3,10,11,13,0.8894866663085442,6,10,13,16,0.9682483630197322,6,16,7,1,0.6194566000217526,11,13,14,7,0.9184740902215982,13,3,5,1,0.24380437831373714,3,6,13,8,0.690590886610212,10,13,6,16,0.9682483630197322
46,46,46,13,14,16,2,0.4684489128623559,4,11,10,16,0.8096365933786968,11,15,13,9,-0.3532286447770563,3,6,10,11,0.9803803611098688,5,3,11,6,0.8832133362842141,3,6,13,14,0.9624185979397022,3,7,11,13,0.8729221893881837,10,11,14,8,0.650104809448433,3,6,7,10,0.9722934921995307,3,8,11,13,0.6612708129586378,10,16,4,3,0.7879829955667264
47,47,47,2,6,14,15,-0.3438150012858931,6,16,2,13,0.6386145772077563,10,11,16,6,0.9821179803868928,3,6,10,11,0.9802713315010436,7,11,14,6,0.9764087642675868,7,14,15,10,0.6530286047214948,6,7,11,13,0.872587703273396,3,7,10,11,0.9195275911234296,6,10,11,13,0.8876468571073395,3,5,6,7,0.8676850858121473,6,11,13,14,0.9727067064574297
48,48,48,3,4,7,15,0.2400827049042286,3,6,7,10,0.9719851304758036,10,11,9,5,0.2744734866526936,3,6,10,11,0.9801087547200676,1,2,3,14,-0.34838276375359944,3,10,11,15,0.7376192263074893,6,7,10,11,0.9191134714182801,3,6,7,9,0.7252071573371355,10,11,13,14,0.9344511050535869,6,11,3,15,0.7536918405677835,7,10,11,13,0.7467550242641906
49,49,49,2,13,14,5,0.1695097991567249,6,11,13,10,0.889053055100537,6,7,10,15,0.7124780879729314,3,6,10,11,0.9819234863094364,3,5,16,13,0.8173805256953075,6,7,14,16,0.8367452157005574,3,6,10,13,0.9572160179211464,6,13,16,3,0.9566532303475825,3,6,10,11,0.9819234863094365,3,6,10,11,0.9819234863094365,3,11,13,16,0.9689064291249461
50,50,50,4,5,11,15,-0.5009827152710731,2,4,13,14,0.1076089523832,14,16,6,15,0.3383014018224726,3,6,10,11,0.981778479262222,3,10,11,16,0.9808550389594027,3,7,15,5,0.29290427717838075,3,6,10,16,0.9453708022501303,3,11,14,9,0.600724908753269,3,6,10,13,0.957186674938402,3,6,7,10,0.9736097770722478,10,14,16,6,0.8367421000006787
51,51,51,4,3,11,1,0.2519017435326907,4,7,11,6,0.7996579263388239,3,7,16,13,0.9608864205193448,3,6,10,11,0.9819811270674204,3,5,6,11,0.8795760170651186,3,6,7,10,0.97378881567701,3,5,10,14,0.8300681229670503,3,7,11,4,0.8005474009761858,3,6,7,14,0.9470311298495606,7,10,11,3,0.9220870706728255,3,6,7,11,0.9741480111631751
52,52,52,4,16,10,1,0.1123411328699361,16,6,5,1,0.1186052621355922,1,3,11,14,0.6337726733262925,3,6,10,11,0.982002150538287,6,11,13,16,0.968098134992511,13,14,16,10,0.9050368840816233,3,11,14,16,0.8370819734035098,3,11,13,7,0.8737320177842861,6,7,10,11,0.9219952131136953,3,6,14,16,0.7200655330620482,3,6,7,10,0.9737860368712483
53,53,53,7,8,11,16,0.6179360070036192,2,3,11,6,0.7683540266312694,3,14,11,1,0.6348585218684288,3,6,10,11,0.9819678409682636,10,13,14,6,0.9693872727616828,3,7,11,13,0.8741100856604241,11,6,3,13,0.9576752359629136,10,11,13,14,0.932613481522119,3,6,10,11,0.9819678409682637,3,10,13,16,0.9684900186049411,3,6,7,14,0.9469870963089121
54,54,54,5,7,3,9,0.2776248108875174,9,12,14,16,-0.805001429651869,6,7,12,10,0.7294367816273633,3,6,10,11,0.9801387989588972,3,6,13,5,0.8598784611642549,7,10,13,16,0.9180727955128185,6,13,2,9,-0.24488917006538324,6,7,11,13,0.8715249300723755,4,14,6,16,0.5555664282484395,3,10,11,16,0.9828797747058079,3,6,7,10,0.9719689776571303
55,55,55,1,4,11,14,0.1253194819445455,3,5,6,13,0.8574789408246,6,11,13,16,0.9689840863558816,3,6,10,11,0.9816573499113272,6,11,16,12,0.6428991764127572,14,11,9,5,0.14863048963634407,4,10,11,14,0.8068225641757439,6,7,10,14,0.9745006603441484,6,11,13,16,0.9689840863558816,3,10,11,16,0.9810356644668664,6,16,11,3,0.9455832540794538
56,56,56,3,16,15,12,-0.4001214984969854,5,10,13,16,0.8147014001906181,3,5,16,7,0.8146522120243547,3,6,10,11,0.9815662344006518,10,11,13,16,0.9324095361398448,3,6,16,4,0.7088250463264343,3,5,6,11,0.8805377506935351,3,7,14,16,0.8394475052652481,3,11,13,16,0.9697198022408523,6,7,11,13,0.8737005816925989,6,10,11,13,0.8888284918897015
57,57,57,5,10,12,14,0.2036651424769695,10,4,6,5,0.4187792119893316,6,10,12,13,0.6692777887731781,3,6,10,11,0.981699214471566,1,12,7,4,-1.0481591068812905,1,3,6,11,0.7447023178323776,3,7,10,13,0.8728777940230565,3,6,7,13,0.9490168548869641,3,7,10,13,0.8728777940230565,6,10,11,14,0.982113570672914,3,10,6,7,0.9734976992158612
58,58,58,3,5,11,16,0.8284927048463917,1,4,6,9,-1.0943989856463423,3,10,11,13,0.8887938477263608,3,6,10,11,0.981766854775138,3,6,10,11,0.981766854775138,3,10,11,13,0.8887938477263608,13,14,16,3,0.8626464974559567,3,7,10,11,0.9216561920189407,14,16,13,3,0.8626464974559567,3,6,7,10,0.9735636817930233,3,6,7,10,0.9735636817930233
59,59,59,5,2,9,12,-2.8963143019667816,7,13,10,3,0.8727443255842462,8,11,14,5,0.1680332253607726,3,6,10,11,0.9816804357328924,2,3,6,13,0.7229913142499267,3,10,13,16,0.9689489731238344,3,7,13,6,0.9489172679301747,3,7,10,13,0.8727443255842462,5,6,10,14,0.8298279260368773,3,6,10,11,0.9816804357328925,3,7,10,11,0.9215023887533322
60,60,60,2,4,7,8,-1.029451880472827,14,5,9,4,-0.7493030377010435,3,7,10,11,0.9219680044129128,3,6,10,11,0.981923037572518,6,13,11,5,0.8202433876338675,5,6,7,9,0.26449987896034965,3,6,7,11,0.9740863497139689,3,6,14,11,0.9474006235193018,6,10,11,7,0.9219577724852289,3,7,10,13,0.8731289777018585,3,6,10,14,0.9473996531848963
61,61,61,4,1,8,9,-3.157942402134748,3,13,5,2,0.2931947800987818,3,10,14,16,0.8448853757629056,3,6,10,11,0.9800442220383032,7,11,13,14,0.9200594150892044,3,7,10,11,0.9190557451018535,3,6,10,11,0.9800442220383031,3,6,11,13,0.9567761762517493,3,10,13,14,0.973048116330858,6,10,11,13,0.8871594886196666,3,6,7,10,0.9719377874071047
62,62,62,10,16,11,14,0.9055457419897572,2,16,15,11,-0.3119077080192447,6,13,11,15,0.6583389674862042,3,6,10,11,0.9817125380777312,13,4,16,11,0.7704762273197032,4,6,11,8,0.2443362050321659,3,6,14,10,0.9476847673772464,3,7,13,14,0.9630301273256966,6,10,11,13,0.8890707093092576,11,16,13,7,0.9177856025921898,3,7,10,14,0.9749837441979221
