,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
90,4,13,10,11,0.13736880187789535,6,7,8,12,0.98289953163658,3,5,12,11,-0.5372949513429466,7,8,12,1,0.8743079564206471,1,12,7,8,0.8397596584794962,1,4,10,7,0.8601023019776867,6,7,8,10,0.979371501169914
91,2,4,7,9,0.0701911132759605,10,11,12,5,0.5206484795179973,7,11,12,10,0.8572971531937085,1,6,7,8,0.983619841420397,8,12,7,10,0.9317471101620746,6,7,9,10,0.8167793417744871,6,7,1,9,0.8432974401858654
92,1,4,8,7,0.8940653255848487,8,10,5,11,0.5837430212231054,7,8,12,3,0.688825796266276,12,9,7,1,0.773114453098376,6,10,1,9,0.7839460501132058,2,6,7,9,0.43378822532356087,6,7,10,11,0.9856501058599237
93,7,9,10,11,0.7894709963245421,4,9,10,11,0.44379659869894617,1,7,8,13,0.7445639397069979,1,7,10,12,0.9038689765991517,6,7,10,11,0.9809257576068621,1,10,4,7,0.8464197042197616,7,8,10,4,0.8940744197442189
94,12,2,5,8,0.26501691785393455,1,10,11,13,0.5319483940643388,11,6,10,12,0.955942590365241,1,5,8,10,0.6266498018796081,7,10,6,1,0.9825757800048983,1,7,10,12,0.8965915346333329,8,7,1,6,0.983729502959773
95,9,7,5,13,-0.9608297692285297,10,13,2,5,-1.2082240651759246,1,7,8,10,0.9244844021258782,1,7,10,13,0.6814787048539754,1,6,8,9,0.8589652995007366,6,8,11,7,0.9917936274557736,6,8,10,1,0.9833050577535812
96,1,2,8,5,0.2766634539303726,1,4,6,12,0.8697527686232269,1,7,6,10,0.9777894055666849,1,6,7,8,0.9849996570389078,8,10,6,7,0.9789669833240847,1,6,10,8,0.9785451309456973,6,8,12,10,0.9882546508502844
97,4,6,7,8,0.9273676237945638,4,7,12,8,0.9134311624748969,5,7,8,10,0.682210031445859,12,2,8,9,0.4752353803132917,1,6,12,7,0.9594895464280191,1,7,10,11,0.866051096839576,1,4,6,7,0.9039990841305023
98,1,12,10,7,0.8940225664160641,5,7,12,11,0.6085114447617858,2,7,8,10,0.8465247982171331,1,7,8,6,0.983765896849931,1,6,7,11,0.951842962774277,1,6,7,8,0.9803265911756479,6,8,1,7,0.9800219336068089
99,1,12,10,8,0.8948535925471419,1,6,8,10,0.9820587992715607,6,8,12,11,0.97578501714159,8,9,11,2,0.46109198018313935,8,4,10,1,0.8664404961707235,2,6,12,10,0.7878677569250834,6,7,10,12,0.9866082365864464
100,1,4,3,5,-1.2300935930045482,10,12,8,4,0.8754063813947477,6,10,7,4,0.8530532742049369,8,10,11,2,0.8092159711000183,6,10,11,12,0.9556017911143928,4,7,8,9,0.6458122601222279,1,8,11,12,0.8188722274591195
101,3,12,6,13,-0.41148514075086595,6,7,3,12,0.6280948818774742,10,8,4,7,0.9022092391407779,1,6,12,7,0.9570128625799689,1,8,10,11,0.8677708991535745,11,12,8,7,0.8652750662643447,6,8,10,11,0.993652520905856
