,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
171,6,7,9,4,0.5251657473812064,2,7,10,3,0.12668859315182546,6,11,4,12,0.8386265891707859,2,4,6,8,0.539478971553897,1,6,11,8,0.9689108001715335,1,6,10,12,0.9575928268025936,1,6,7,9,0.8424038041975681
172,1,9,11,12,0.6301777930118156,6,8,1,7,0.9775106596689248,2,6,8,11,0.8656366426652313,7,11,6,1,0.954040095883096,7,8,10,12,0.9218187652351971,1,7,8,4,0.9083567336179386,1,7,12,6,0.95940533108623
173,1,4,13,11,0.19763016349539098,1,11,12,9,0.630295880900537,6,8,9,12,0.8663357745981077,7,8,12,10,0.9233571287993605,2,6,7,8,0.8702981365012907,1,8,10,12,0.8962660922737898,6,8,10,11,0.988638617481922
174,1,9,10,6,0.7894521772742938,1,8,11,2,0.7664536667902214,1,7,12,10,0.9076531224720683,6,7,1,8,0.9805824364842841,1,6,7,8,0.9814242132887686,7,8,10,11,0.9425712222559908,6,7,10,12,0.9801606319561696
175,1,13,12,11,0.49994406989821716,1,6,8,13,0.7057303790695879,7,12,13,6,0.6733089788927588,4,10,11,12,0.7686070485061445,1,8,10,12,0.9151881531597639,6,7,8,11,0.991967648366192,8,11,6,10,0.9938403429531827
176,4,2,8,1,0.565289047053906,12,6,7,13,0.6691252087736999,2,4,8,7,0.6595579534651029,11,7,10,6,0.9896877566130501,1,4,7,8,0.9012154911830965,6,8,1,10,0.9826466429816281,6,7,10,12,0.9864568775364009
177,5,13,10,11,-0.48706982408917754,1,3,10,8,0.6005612699802738,2,6,8,11,0.8711555390686849,1,6,12,9,0.7899207501536696,4,12,10,8,0.8645752267721639,6,7,8,11,0.9865693219380619,1,6,7,10,0.9814398479695445
178,2,5,8,12,0.2749523705048543,4,8,9,12,0.5934993709498191,1,3,7,2,0.19172481721121704,11,13,7,10,0.6117424995559229,6,7,12,4,0.8991815263643814,6,7,8,4,0.9178890553298902,4,6,8,10,0.8622112018313693
179,2,4,8,10,0.5317730573255056,1,4,7,3,0.24589181371498414,6,7,10,12,0.983712867210318,1,8,9,12,0.7990722390679263,4,12,7,2,0.5920753161126502,7,11,6,2,0.8414333287674907,1,2,7,10,0.7958047957365957
180,1,7,8,12,0.8654906664891518,1,12,10,8,0.9079257313092471,1,2,8,4,0.5992758743313888,7,8,1,9,0.8248501931335038,6,10,11,1,0.9516373994149054,6,8,10,11,0.9930705663681602,1,4,6,8,0.9014063604538023
181,2,6,7,4,0.5751778715348627,4,10,11,7,0.8333682393107738,8,3,4,2,-0.3584121063286161,1,7,12,8,0.8781459259375547,6,10,11,12,0.957581045306641,1,7,10,11,0.8862319010532999,1,6,7,11,0.9527680559134526
182,6,7,8,13,0.738661024480821,7,12,6,9,0.8540577626327439,6,8,9,10,0.8120794154368214,10,12,11,8,0.8761467457155174,6,10,11,12,0.9490138149989961,1,6,7,8,0.9836779900350872,1,6,7,8,0.9736050467547658
183,10,7,2,12,0.8080716304576705,8,5,11,9,0.24637507968975314,4,10,7,2,0.5741496587522067,1,3,6,13,-0.34029751528335517,6,12,8,1,0.9639817240872159,1,8,10,12,0.8966350256004461,6,8,12,1,0.9670182375726348
184,1,4,11,7,0.7993194848024109,2,7,8,10,0.8522438571571325,4,8,10,12,0.8701200193718676,7,8,12,6,0.9828288085023464,6,8,11,12,0.9690716005694165,7,12,6,10,0.9864621602916979,6,1,12,7,0.9493960319056557
185,1,10,7,8,0.914252360007696,1,4,6,7,0.8953397007504252,1,10,3,9,0.052447735953243924,1,7,9,8,0.852120814323091,6,11,7,8,0.9922264385701045,6,8,12,1,0.967052320292064,6,7,8,11,0.9896238655794315
186,2,10,12,7,0.8134276251491126,1,2,7,11,0.7616601061446784,1,7,9,11,0.7161849390241881,1,8,11,7,0.8851648379177172,4,8,9,13,-0.22878325321273918,1,6,7,11,0.9529780711397839,1,6,7,8,0.9802897867946394
187,12,2,3,1,0.16494581330891667,2,7,8,10,0.8397241686986388,1,8,13,9,0.3143377726853217,1,6,7,11,0.9615587063400626,7,12,4,10,0.8716993213781495,1,6,7,9,0.8597056733715566,1,4,6,7,0.8807137413125163
188,2,4,6,11,0.5285597255203074,2,8,7,12,0.8403791173516142,10,12,4,3,0.12450977535184338,4,8,1,6,0.9058910735764405,6,7,8,11,0.9917812217938092,6,7,10,8,0.9791950955660584,6,7,10,12,0.9843514564520531
189,8,9,4,5,-0.3254062816298642,6,7,9,10,0.8295044231008812,13,12,2,7,0.30088324463359717,6,7,8,12,0.98555569470164,1,2,6,8,0.8556663109855016,6,8,12,1,0.9691726085440103,1,6,10,11,0.9555822151605406
190,2,7,12,13,0.3152443985386807,4,6,10,11,0.8258832682048247,1,6,10,12,0.960814660303891,1,8,10,11,0.878797087437683,1,6,7,9,0.8394532552234112,6,10,12,7,0.9823404803000618,1,6,10,12,0.9621945665463796
191,1,2,9,11,0.3058729589636917,10,11,12,3,0.4983786014731063,6,11,8,12,0.9679154936747689,6,7,8,12,0.9801617524307087,1,2,6,8,0.8581448423280024,1,6,8,11,0.9718220452028774,3,6,12,8,0.666867073489591
192,13,9,4,2,-1.2894665136255816,2,8,9,4,0.05437403135164465,1,6,7,2,0.8389653056341707,1,6,8,10,0.9830730614164637,6,7,8,12,0.9746442767161603,1,6,8,11,0.9801851762425412,1,6,8,10,0.9759486803547688
193,6,9,1,2,0.3901863026887158,9,10,8,13,0.2761727730292658,1,2,7,8,0.8459954072947473,7,10,12,11,0.8697925868843279,7,8,1,10,0.8986399515787616,1,6,7,4,0.9077632707874568,6,7,1,8,0.9657964640718734
194,7,10,1,9,0.7894185540220611,1,6,8,11,0.976080846474015,11,9,12,2,0.30039604515510243,4,6,10,8,0.8764125109582627,6,8,10,11,0.9927227320313372,8,9,12,7,0.8656054875536185,6,7,8,10,0.9774786273036223
195,4,11,13,12,0.22295313754396384,6,10,13,5,-0.5020800255220821,6,7,8,10,0.9741807803926166,4,8,7,2,0.6771111288469036,7,12,11,3,0.5707363280440054,6,7,8,10,0.9817630078252974,6,7,8,1,0.9780783026226215
196,3,2,8,1,0.24820246622093922,8,9,10,3,0.21041561032048095,2,7,10,12,0.8225254856821557,6,11,10,7,0.9880462185883148,7,12,6,1,0.9588832757811936,6,12,8,7,0.9750139072878865,10,11,8,1,0.8281852123450395
197,6,5,9,10,0.09493410285645676,1,2,7,10,0.8061854311704131,11,6,7,10,0.9879655826274685,7,8,1,10,0.943024124836736,1,7,8,10,0.8859796556916552,1,6,7,12,0.9519864853970073,6,7,8,10,0.9767985697525732
198,2,8,13,6,0.23945842859285182,6,4,12,11,0.8618405711292508,7,10,12,2,0.8076986021253291,1,4,6,2,0.5408024569729366,7,10,12,8,0.933705531451181,7,6,8,3,0.7132902691633756,6,7,10,11,0.9845242682201463
199,12,7,1,2,0.783477232083895,2,7,12,9,0.4798557904032442,6,8,1,11,0.9686839639169235,6,10,11,12,0.9651685945049551,1,6,7,8,0.9803457094899369,8,12,11,7,0.8523629871502731,6,7,12,10,0.9857179444915125
