,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
12,12,12,11,13,16,26,0.6095602352396594,3,7,8,18,-0.4942937296881569,1,17,21,30,0.4090512245028234,10,13,16,18,0.8093429443904572,9,10,16,18,0.7668453148656307,7,10,31,40,0.7960622248992758,6,8,10,16,0.5801372876525563,5,6,8,10,0.4722130395786849,5,6,10,13,0.8678979181450879,10,13,17,18,0.8040544484213861,5,10,21,17,0.8507269557203794
13,13,13,8,12,13,16,0.3270158476478199,6,10,12,16,0.9493766559539276,5,6,16,18,0.8896767258050019,16,17,18,34,0.4345605679978312,6,7,10,14,0.9412976559047908,10,17,23,28,0.6992175734110146,5,8,10,13,0.6282590062259884,8,26,27,33,0.0193994085982207,13,20,21,30,0.1877890055843797,5,8,10,13,0.6282590062259884,5,10,21,17,0.8507784044919675
14,14,14,19,28,41,45,0.1051395802848011,5,21,32,35,-0.3840141486896005,6,10,19,20,0.801991962527879,2,3,7,14,0.6062719627957525,5,10,14,20,0.8947496386061551,5,13,14,18,0.8663498510785825,5,6,16,18,0.8889683897197771,5,10,18,19,0.9474116993145963,18,32,34,53,0.0785917162340539,6,13,18,19,0.9916971526257372,5,10,21,17,0.8516069909047435
15,15,15,1,16,17,18,0.5695665483868505,14,20,21,53,0.0425702321439481,10,17,18,21,0.6968798358141151,5,6,8,10,0.4725706650992366,14,18,20,41,0.4663708640362796,10,12,16,21,0.7167424557806543,6,21,22,38,0.8266924122039918,16,21,26,30,0.5277996212729898,5,16,17,19,0.9367335176075978,5,10,16,18,0.9422942561969602,5,10,21,17,0.8521298599994986
16,16,16,2,4,6,7,0.550355307404135,3,6,21,25,-0.5446289353260574,4,7,8,11,-2.110654146647392,6,19,39,41,0.6483436774308879,7,13,17,19,0.9919325234815072,5,10,11,13,0.6238493340008961,6,19,21,24,0.8734789072590223,10,17,19,20,0.8356257999107259,10,17,20,25,0.4794379562796373,3,5,6,10,0.4743536873533608,5,10,21,17,0.850956120916897
17,17,17,21,28,29,39,-0.2137231799511565,21,39,43,44,-0.6972617864988533,3,11,29,44,-0.9922633104368228,5,10,28,39,0.2759417388782671,22,27,38,39,0.3964479578119251,8,21,28,42,-1.2694051490669045,5,6,10,20,0.7483739688749331,2,5,10,13,0.9484253970307004,5,8,10,13,0.6285996646614014,8,26,29,32,-0.1951147854442774,5,10,21,17,0.8508376503214815
18,18,18,10,22,23,30,0.8420627034007084,4,6,7,13,0.5505435035058518,1,17,21,36,0.8091166617432701,2,5,6,12,0.9414811942693916,5,8,17,19,0.6330359805146104,5,6,13,15,0.939758692369387,5,10,16,18,0.9393154307516436,5,6,13,20,0.8164968369089771,5,21,30,32,-0.3673459119380238,6,10,18,30,0.8490770075904699,5,10,21,17,0.8507524030728927
19,19,19,12,14,20,25,0.327312098977935,5,7,11,19,0.5312393604637952,5,7,10,17,0.942207447941296,3,5,34,35,0.2393443428573274,5,7,8,10,0.467662987509382,5,16,17,31,0.844840395555583,1,2,19,21,0.8596710376921743,4,5,6,13,0.5668325673082427,6,8,17,18,0.396203084273389,6,10,18,19,0.943563580118468,5,10,21,17,0.8520459949673391
20,20,20,11,13,14,18,0.2915860259054845,5,6,15,35,0.7809539051664417,7,11,13,21,0.2640175424602491,1,5,7,10,0.8008027074574704,5,6,8,18,0.5043402558006884,7,10,31,33,0.9131209789462628,6,10,17,24,0.9704330938305784,20,28,51,54,0.1579286880708789,5,13,18,19,0.993081032265481,7,13,18,20,0.8949560196609075,5,10,21,17,0.8524597033377687
21,21,21,4,11,16,23,-0.4051655053689358,8,21,26,36,0.3327224761366683,5,10,19,26,0.8057550898893906,5,6,10,17,0.9440051138005524,5,17,18,20,0.7837054495409141,13,16,32,35,0.1869862565393217,6,10,13,21,0.8295626216029384,5,7,22,27,0.6409825158367473,6,20,21,23,0.5911063954139868,5,6,13,26,0.8232099077576482,5,10,21,17,0.8512331861442285
