,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
180,180,180,180,180,6,13,22,26,0.8588633308770559,5,12,19,20,0.7108400061636098,2,6,10,12,0.9428143453335446,2,6,9,10,0.9011274610374382,5,6,9,10,0.902266801673734,2,11,12,13,0.9430263921318954,2,5,6,11,0.9504692156186876,2,4,12,13,0.9672669119043033,7,10,11,21,0.8489729312732957,5,12,14,2,0.9587636305065208,5,6,10,14,-0.19263636064167056
181,181,181,181,181,6,22,27,16,0.6713556391738833,4,12,17,27,0.4182268561358951,2,6,8,7,0.2939866980865909,9,12,14,19,0.7777830484678572,4,5,6,14,0.8920843291321962,2,12,13,23,0.6336642517735281,4,14,25,21,0.9624467503119768,2,4,5,6,0.9246468064581104,5,6,10,11,0.9678607482737897,5,8,10,12,0.6891265532201623,5,6,10,14,-0.20869808059603123
182,182,182,182,182,9,11,15,23,-0.9282926629707124,10,27,29,13,0.6869407497293032,6,8,11,14,0.7251100296763813,2,4,6,17,0.6512314468562709,6,12,27,29,0.6530629063420212,4,6,12,19,0.9725608539248228,2,12,21,27,0.9738487953745548,2,5,12,18,0.6520857924423346,2,12,13,21,0.8642789826414953,5,6,9,13,0.877164759811315,5,6,10,14,-0.1899733112248274
183,183,183,183,183,5,19,25,26,0.8090251685080221,3,4,5,6,0.7047289476717248,3,4,6,19,0.7441495074836328,5,10,11,15,0.7625383352800262,5,25,11,2,0.97692538638337,2,4,12,13,0.9682337562762584,3,5,10,13,0.7788243706925617,2,5,10,25,0.9693500958371188,5,6,11,12,0.9726223902149088,2,5,10,11,0.9611971424407324,5,6,10,14,-0.18532264799976605
184,184,184,184,184,3,9,12,13,0.1810673004486337,2,4,11,12,0.9717584444667569,13,14,19,30,0.8941279997474452,1,4,6,10,0.7324125884820641,5,6,7,12,0.823338460022653,2,12,21,22,0.910322132435146,5,6,10,12,0.9394163808420694,5,8,10,13,0.7612396950041243,2,9,10,19,0.890501941969664,5,10,14,19,0.9738953995993226,5,6,10,14,-0.17882395486651648
185,185,185,185,185,5,13,14,27,0.9259591012233918,7,14,19,23,0.2024887732144477,2,13,24,25,0.5835130880933912,11,30,14,22,0.8883012097890075,6,11,27,12,0.9906773521870976,2,6,10,19,0.9575890718961984,4,5,10,12,0.9862767346049524,3,7,12,14,0.1327298895710178,10,12,13,14,0.9167520368693612,2,5,10,12,0.9682982243242422,5,6,10,14,-0.19077869246757806
186,186,186,186,186,3,4,7,9,-0.5651487178189438,2,9,10,13,0.8715941777116942,2,17,26,11,0.6941335464525651,2,7,19,30,0.7462504424830443,10,11,14,27,0.9049851398656376,2,5,11,12,0.9756892574687174,14,19,27,10,0.9689618170221064,2,6,10,12,0.9370943944353094,5,10,11,12,0.9656843746066008,2,5,10,11,0.9598916854934064,5,6,10,14,-0.17166814135699981
187,187,187,187,187,2,5,16,19,0.7383328839226244,28,19,5,16,0.3364937700287915,2,6,9,25,0.8690089511074278,4,6,11,12,0.9920673570788412,2,6,11,12,0.9718954993161598,6,19,11,1,0.7691813891883903,4,5,6,10,0.9630901750553206,2,11,14,19,0.9560225159933652,2,5,11,13,0.975273927810447,6,10,12,13,0.8481313272820241,5,6,10,14,-0.18988892692534076
188,188,188,188,188,1,2,4,6,0.6753288985701176,1,2,10,12,0.6916676897343835,6,7,10,14,0.815444225578116,6,22,25,27,0.9877390944936812,2,5,12,13,0.9434526046058886,10,25,27,1,0.6512073437660597,4,5,6,10,0.9631582021533458,2,4,5,12,0.9713888202598886,4,6,13,14,0.9670517154371808,2,10,19,25,0.9151779369975231,5,6,10,14,-0.19048550845750079
189,189,189,189,189,1,9,10,12,0.2404614594459423,19,21,24,16,-0.3446137490547158,4,5,12,14,0.9436306742863152,3,4,10,11,0.7059067851030295,10,21,27,26,0.9666499058065058,6,12,17,21,0.6276685208240885,4,6,10,12,0.9848141666873892,6,11,13,30,0.8536556168204432,4,10,12,13,0.9471812350024446,2,5,6,10,0.9633069076846972,5,6,10,14,-0.18984244162195285
190,190,190,190,190,3,9,14,20,-0.802741550819364,4,7,9,10,0.4008353390785484,2,4,14,16,0.5131808646307088,4,5,14,19,0.927615238620102,5,11,23,27,0.5959126789793612,11,13,14,17,0.6918216689398299,2,5,12,21,0.9519673124246232,2,4,6,11,0.9251687344010666,4,5,14,27,0.7092541061118387,5,11,13,14,0.9603437463637206,5,6,10,14,-0.1909598682895668
191,191,191,191,191,6,11,14,16,0.707214135146643,2,12,13,22,0.8994329851255026,4,6,15,29,-0.2810886890833342,10,13,14,19,0.9519191390370704,3,6,10,11,0.8069680033302711,11,14,19,22,0.9748531491556406,2,5,10,12,0.967602116649318,5,10,12,19,0.9108037963535612,4,6,10,13,0.9796534565443958,5,10,12,22,0.934314561634817,5,6,10,14,-0.19170722400925455
192,192,192,192,192,8,19,27,28,0.2382809170419102,19,28,24,2,0.2678777505742628,1,6,10,26,0.698195694273135,5,6,10,19,0.9555486904573012,4,5,11,13,0.9574691328364496,11,12,15,17,-0.3479262805114036,1,5,6,9,0.3670967362790456,2,11,12,21,0.9510521676471626,2,12,13,14,0.9456289410168068,4,5,6,21,0.9806391786274452,5,6,10,14,-0.18580925303540674
