,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r,none-a0,none-a1,none-a2,none-a3,none-r,baseline-a0,baseline-a1,baseline-a2,baseline-a3,baseline-r
29,29,29,29,29,29,10,12,15,17,0.654576357150539,18,20,23,26,0.9131007978652976,12,16,17,25,0.3141350476227427,12,14,18,21,0.3964138056059477,13,14,18,21,0.6209865907823501,3,5,6,9,0.4730605899816276,1,10,12,17,0.8430823531705167,7,12,13,20,0.894301728755431,2,5,6,7,0.7150916173194259,1,7,12,13,0.975424011230227,2,7,1,22,0.9781061876079148,112,117,120,122,0.9261151140156334,112,117,120,122,0.9261151140156334
30,30,30,30,30,30,2,3,12,22,0.5753249875187356,13,17,20,21,0.5715753500086468,10,15,33,39,0.8049121317163461,2,9,12,13,0.8999821762727598,15,17,19,24,0.8639734022253771,1,2,5,7,0.8792514751205636,1,10,24,29,0.8797069081674448,1,2,9,22,0.9128871169558492,1,6,9,13,0.921692044872188,2,9,10,17,0.8015020407660025,2,7,1,22,0.9783143996748594,112,117,120,122,0.925165325734981,112,117,120,122,0.925165325734981
31,31,31,31,31,31,22,23,32,34,0.7344161150366774,7,10,14,15,0.944179391015797,2,7,12,15,0.8776402431099968,3,5,14,15,0.4330805003916298,4,9,12,15,0.4073888415374803,6,17,18,25,0.6474051958248067,5,15,19,21,0.8819566396555042,7,10,13,18,0.980698347541488,2,7,12,24,0.9873225066409343,7,9,12,15,0.9487962267216252,2,7,1,22,0.9783128325104724,112,117,120,122,0.9253721362131372,112,117,120,122,0.9253721362131373
32,32,32,32,32,32,2,43,54,59,0.3714093879184874,5,7,9,10,0.6886071552305082,3,7,9,15,0.590384530484006,1,5,6,7,0.6511093430873612,12,19,29,44,0.8710591161910213,5,6,7,13,0.7163443238367349,5,7,10,13,0.8658310043977313,5,12,19,22,0.9954345709388066,7,10,13,17,0.9810317164460473,1,2,5,7,0.8795803780693541,2,7,1,22,0.9784310828379726,112,117,120,122,0.9248109790619962,112,117,120,122,0.9248109790619962
33,33,33,33,33,33,4,5,7,30,0.0925196814173264,1,5,6,10,0.8032155899038431,5,19,24,25,0.8185483932982176,1,5,9,12,0.9662917215829304,6,7,9,11,0.4614055529323827,6,7,15,22,0.938264723136358,1,5,7,12,0.9207441274326776,7,12,19,22,0.9953806991015668,5,18,19,27,0.7386010447650244,6,12,13,16,0.8856165266746593,2,7,1,22,0.9781497508284508,112,117,120,122,0.9196197939609446,112,117,120,122,0.9196197939609446
34,34,34,34,34,34,5,9,10,19,0.6566177807884068,7,13,17,18,0.8569060331901703,2,6,7,8,0.5377319999373393,7,12,15,19,0.9391813491808378,6,21,26,31,0.8296524205981348,1,2,5,7,0.8788931872196365,12,15,16,18,0.2049207466878979,1,2,5,12,0.9759467643785869,2,5,7,13,0.9099523049222974,1,2,6,7,0.8758738975304994,2,7,1,22,0.978142713549396,112,117,120,122,0.9277912280624464,112,117,120,122,0.9277912280624463
35,35,35,35,35,35,5,7,10,33,0.795473658309644,12,19,22,25,0.7810541040350579,6,10,13,25,0.7697025052864799,2,7,9,10,0.789367516791328,7,15,19,28,0.7279386960444048,7,18,20,22,0.8857905722358709,1,5,7,10,0.8071056776857148,26,30,34,38,0.8544608297823211,6,7,13,16,0.9339942365796716,1,2,7,13,0.9778120302703088,2,7,1,22,0.9782681196394292,112,117,120,122,0.9276455059276258,112,117,120,122,0.9276455059276258
36,36,36,36,36,36,5,14,30,34,0.8157604381641428,1,7,18,23,0.9647153047056642,7,12,20,25,0.5053222319572971,5,7,10,16,0.942265885007931,1,19,26,29,0.9237840816686548,1,9,14,54,0.7344919919485202,2,5,7,15,0.9391979519510196,2,6,7,14,0.9375641393256512,2,5,13,22,0.9774971257574474,1,2,6,10,0.9174233909230984,2,7,1,22,0.9781709107454316,112,117,120,122,0.9213325987884192,112,117,120,122,0.9213325987884192
37,37,37,37,37,37,6,7,11,14,0.4737940884149298,29,31,43,49,0.834114488854937,1,3,14,15,0.3203785807915061,14,20,30,31,0.5171943478784529,5,7,9,19,0.7774642323439964,4,6,7,9,0.4692585440851293,2,5,7,9,0.8685622550576595,2,7,15,21,0.8406584264008579,2,5,7,14,0.9371751695110166,1,7,13,31,0.9736290160129832,2,7,1,22,0.978428223532708,112,117,120,122,0.9269889405280028,112,117,120,122,0.9269889405280027
38,38,38,38,38,38,5,6,17,24,0.9355290509375104,6,12,15,28,0.5452132809142014,2,6,7,13,0.9079744207224762,2,9,12,19,0.8911994640480034,7,23,24,29,0.8485066026745003,1,5,6,7,0.6513107643309108,6,7,13,15,0.9347337270090056,1,2,5,22,0.9805932071433184,7,13,14,23,0.975133567570466,1,7,12,20,0.862514388293489,2,7,1,22,0.9784764327955056,112,117,120,122,0.9261258387960608,112,117,120,122,0.9261258387960609
39,39,39,39,39,39,4,7,9,12,0.5999340146702963,1,13,15,42,0.7957999280455639,5,15,23,29,0.9425030329054076,6,7,20,23,0.6962339088328161,2,7,9,14,0.9823980640717234,2,6,10,22,0.9442868089063936,6,10,17,19,0.9439941941916488,1,2,7,13,0.977525275987316,5,6,7,9,0.6525284896569432,13,15,18,19,0.8154337025560106,2,7,1,22,0.9779731490328384,112,117,120,122,0.921131427191744,112,117,120,122,0.9211314271917439
40,40,40,40,40,40,7,18,20,21,0.585496581852787,7,16,18,22,0.8631468880247332,10,21,23,26,0.8018029741533134,13,22,24,26,0.9808881756182036,7,26,35,43,0.5482004589408124,1,6,7,12,0.9149974428983624,1,2,5,6,0.8828365314108475,1,5,6,12,0.9204578759041152,6,7,13,14,0.934993324612809,13,15,16,18,0.4937232080122973,2,7,1,22,0.9784373658421996,112,117,120,122,0.9271042474618748,112,117,120,122,0.9271042474618748
41,41,41,41,41,41,30,37,39,40,-1.0598509868771506,5,18,23,24,0.9760879591834468,1,2,11,16,0.4940186734432622,1,10,12,15,0.8445686528055238,2,26,36,38,0.9395252547521464,1,2,15,17,0.7733200814957086,2,6,12,14,0.877711280122924,2,7,13,19,0.9777496117471446,1,6,7,18,0.9115652504049824,1,18,19,22,0.9449375885661152,2,7,1,22,0.9782334694853996,112,117,120,122,0.9277211113765084,112,117,120,122,0.9277211113765084
42,42,42,42,42,42,1,5,6,14,0.9206116332187788,5,7,9,26,0.7482245413068143,25,26,30,38,0.3992581646080467,2,7,15,16,0.8745625748643573,1,12,22,34,0.8843982201210191,2,12,19,22,0.9241227320959396,5,6,7,22,0.7140979821947031,5,13,28,30,0.3857949722060889,1,2,17,22,0.906615376605918,7,14,19,24,0.9916372568195476,2,7,1,22,0.9778976998625404,112,117,120,122,0.9230763176207462,112,117,120,122,0.9230763176207462
43,43,43,43,43,43,14,16,29,30,0.7360953107692076,2,19,29,35,0.8949047962563534,12,14,17,18,0.2099224357148146,2,3,7,10,0.6238960025079269,2,4,14,16,0.3410475702880189,2,13,16,18,0.7217505625829427,5,7,9,24,0.8051355275085965,1,7,13,17,0.972742633870898,6,12,15,16,0.7165446199097153,5,6,7,13,0.7157155169429459,2,7,1,22,0.9782653970810056,112,117,120,122,0.9234485485148572,112,117,120,122,0.9234485485148572
44,44,44,44,44,44,5,6,24,36,0.8281311377928835,1,2,3,9,0.5781238615239501,2,7,18,20,0.8829145418318083,7,10,13,29,0.9067526305726926,10,12,14,22,0.8201496251269059,5,7,17,23,0.8781222275340664,5,6,9,13,0.8719892061720235,1,2,7,9,0.9233970979913576,7,12,18,21,0.728622362775045,5,7,39,48,0.0186216524701641,2,7,1,22,0.9781001495398608,112,117,120,122,0.9295511390689604,112,117,120,122,0.9295511390689604
45,45,45,45,45,45,5,6,16,31,0.9324514708072482,4,5,9,10,0.4229844279402099,2,13,15,26,0.94397009122174,1,2,6,7,0.8766119216730947,2,9,19,24,0.8431367863177519,5,6,14,18,0.8869529535111675,7,13,15,22,0.9588262568814035,5,7,17,19,0.9428051406357084,14,19,24,29,0.9824456567554312,6,7,24,58,0.8176018555811227,2,7,1,22,0.9783267195019127,112,117,120,122,0.9285149634143324,112,117,120,122,0.9285149634143324
46,46,46,46,46,46,1,2,4,5,0.6298509780407597,9,38,42,51,0.8945621570756928,6,12,17,21,0.7442609418849899,2,7,16,24,0.9864241429984448,1,7,25,40,0.2574425716409446,7,12,19,26,0.980738591255996,5,6,7,16,0.7879642576293768,7,13,15,29,0.9757110482227624,2,7,13,14,0.963149492651278,7,13,14,15,0.8753287653984279,2,7,1,22,0.97852290533851,112,117,120,122,0.9224147418496907,112,117,120,122,0.9224147418496907
47,47,47,47,47,47,6,14,15,18,0.6990854886162137,6,11,26,30,0.2062397829022739,1,15,18,31,0.7382706964911003,5,9,20,21,0.5780355137263407,6,9,18,19,0.946509389137707,1,12,14,22,0.7963999653029471,2,7,14,15,0.8756925277647677,1,2,7,32,0.6347906179509627,1,7,13,22,0.9784337978122544,2,9,12,17,0.8190393882147159,2,7,1,22,0.9784336912719516,112,117,120,122,0.9222558478532008,112,117,120,122,0.9222558478532007
48,48,48,48,48,48,16,25,29,41,0.5000603000658322,1,6,7,14,0.9163617999643509,2,9,13,26,0.9321160343771876,12,17,23,28,0.5634658728665793,13,16,18,23,0.8416422359538782,2,6,7,18,0.9357374963168188,2,7,12,19,0.9949561916051596,2,18,32,34,0.5285632041904497,2,5,13,17,0.9617788622466747,1,9,16,17,0.8400600660734696,2,7,1,22,0.9782640318790388,112,117,120,122,0.9219494465231556,112,117,120,122,0.9219494465231556
49,49,49,49,49,49,15,18,20,25,0.2785964424684387,1,6,15,26,0.964139814410596,10,12,15,19,0.8416725657924155,10,12,15,18,0.6484626932814356,2,18,30,31,0.7220671738346154,2,6,13,22,0.976851523026638,6,10,13,14,0.982731124228236,7,14,17,18,0.6806757566144173,5,6,7,13,0.7155090379555704,2,15,17,23,0.834809616467178,2,7,1,22,0.9781203108186354,112,117,120,122,0.9289056097305616,112,117,120,122,0.9289056097305615
50,50,50,50,50,50,6,7,9,12,0.9419673361404116,5,12,14,18,0.7016459971125025,6,10,13,18,0.9814539840214808,9,10,12,19,0.7271077948028906,2,6,14,18,0.8638001795950959,1,2,9,13,0.9146142994381404,15,19,31,37,0.7943044549253613,2,5,6,7,0.7156754701223915,1,2,6,7,0.8761642209264537,5,15,22,23,0.9755607875157176,2,7,1,22,0.978213555003936,112,117,120,122,0.928255885373908,112,117,120,122,0.9282558853739081
51,51,51,51,51,51,2,6,10,32,0.6400693482028506,1,2,5,15,0.972160419489544,2,10,24,45,0.8211045550681255,17,20,25,26,0.5165721489496823,6,17,22,24,0.9837016670739908,2,5,9,22,0.951838812894222,2,7,18,31,0.936644877481268,5,16,19,21,0.8797627622812351,1,2,9,10,0.7409987246075227,2,5,10,13,0.9502845102566226,2,7,1,22,0.978102618255644,112,117,120,122,0.9291935904803011,112,117,120,122,0.9291935904803013
52,52,52,52,52,52,8,9,13,22,0.6457383328355706,6,15,18,29,0.9076837594952648,4,5,9,19,0.5731146660862186,2,5,9,10,0.7918163660207058,5,6,12,27,0.6072612445949817,5,6,12,25,0.7105628701249374,1,7,9,19,0.8411572740194777,5,6,7,13,0.7150205247043245,5,6,7,12,0.7833503016263251,1,2,6,7,0.8756473166077402,2,7,1,22,0.977981475983402,112,117,120,122,0.9294691302976892,112,117,120,122,0.9294691302976891
53,53,53,53,53,53,3,9,20,25,-0.38287417796666,2,9,14,15,0.8140497610175531,6,9,17,20,0.8901086819726899,1,2,6,25,0.7522532381286176,2,27,29,31,0.7870923475873256,24,42,51,58,0.8984799354368447,2,12,13,29,0.9474290746645893,6,7,18,22,0.9318178713094636,1,2,18,22,0.9007055833124649,5,6,9,16,0.9468716793441871,2,7,1,22,0.9782007014890552,112,117,120,122,0.9289552814116386,112,117,120,122,0.9289552814116386
54,54,54,54,54,54,12,13,18,24,0.8089824100184502,3,9,12,13,0.5800309515778543,1,18,31,39,0.7089838570892888,1,2,19,20,0.9059442460114854,2,6,7,20,0.8077506358928902,9,16,17,18,0.6395085618087268,5,9,23,24,0.8482127441495221,6,12,13,19,0.9954921215348974,1,6,7,13,0.875201021875461,1,2,5,9,0.9199764648240862,2,7,1,22,0.9780097890983824,112,117,120,122,0.9225695829940356,112,117,120,122,0.9225695829940355
