,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r
61,6,8,0.6136999348135571,5,7,0.8069317195062025,2,9,0.49559858985086347,13,4,0.6460311777312521,3,5,0.6632437831082705,6,9,0.3177238977781557,1,2,0.13519424947182523
62,5,6,0.6898045944653644,2,4,0.7477455176510797,10,2,0.20360057545375876,7,10,0.6905683772091975,1,7,0.45261174328404297,4,6,0.5327430353839067,6,7,0.7046855893923509
63,6,11,0.710211510014761,2,3,0.20469999510611714,7,10,0.5480202318022147,5,7,0.6588398052899093,1,4,0.589600812660727,1,9,0.6120377006710109,8,10,0.6810565131174604
64,7,10,0.5748577750698483,2,4,0.786761623837241,4,6,0.45262747180156726,4,8,0.9095202234131543,7,13,0.6221219000846612,4,9,0.7326165460329928,6,7,0.5493048969464951
65,5,13,0.5458900252123537,6,7,0.6467514476697529,5,6,0.8067119480455629,5,6,0.20015117597239407,12,13,0.7757672506778608,7,11,0.8221586189459944,5,6,0.4869571351711576
66,1,6,-0.013784885085704746,1,5,0.5143768435499589,6,12,0.7537836738388445,7,8,0.6808870268863876,6,9,0.6936160412238834,6,9,0.34603005498734607,5,11,0.8830728436227425
67,8,9,0.7614845068063312,9,4,0.7923397343305381,1,5,0.7298114583366675,6,10,0.1181768749258143,11,2,0.5177637644443192,11,13,0.8186074346263164,8,10,0.6422149796622789
68,2,3,0.34124598773180226,1,4,0.4552052901919248,1,2,0.45301297413980635,6,8,0.5648495633480044,2,7,0.5437895746574635,4,9,0.7880384314911129,6,8,0.6908282180765156
69,13,3,0.40068262155578604,5,6,0.7065137685766859,5,10,0.554308182731357,6,11,0.8451946884509715,1,6,0.4403486419896302,4,7,0.7264552395786195,1,4,0.7318220341137696
70,5,6,0.7315388810963684,6,7,0.7630089650744134,1,7,0.6293950271962041,1,6,0.48647511077672,8,10,0.7843528947382631,10,12,0.7422493712559919,12,10,0.7150405865406415
71,7,10,0.8296921740841164,5,13,0.770337786779284,10,5,0.853152719424724,8,10,0.6698108472652571,1,2,0.514931696539245,2,6,0.6064483347281112,1,4,0.7215691098276403
72,7,8,0.6340482440844387,5,6,0.742625074367862,5,6,0.532386819157335,6,10,0.32807402754408155,6,8,0.7389218388750829,10,13,0.6472592421851457,10,12,0.2632987476549269
73,5,12,0.8044408354850536,13,7,0.6220055834439471,1,2,0.39532179504122444,3,9,0.6818028640636027,6,11,0.7752926213022018,7,9,0.6287961397390001,7,1,0.593579157195763
74,1,5,0.6431157547908806,6,7,0.5176569350573886,9,6,0.6977143210971027,7,9,0.8569461798114886,10,9,0.7417127575848456,7,9,0.8194663988980533,10,7,0.6842752082216088
75,7,13,0.7037892331431839,1,4,0.8274289236438889,7,1,0.6823248414410963,4,7,0.8594080339087541,7,8,0.76514271280704,5,6,0.8490324613765687,9,10,0.486394191796526
76,11,6,0.39594380780098093,5,6,0.7030233805634615,8,11,0.9557923516824358,8,11,0.6998122326594276,11,12,0.9260958296002957,7,10,0.8072877978424149,5,9,0.7755209240295222
77,3,4,0.7670443627972658,2,4,0.5470640520739954,4,7,0.7482068076501941,2,3,0.4053053415734018,5,12,0.7770257630286567,8,12,0.728524135506056,3,5,0.8272247600165512
78,5,6,0.6359003466555414,5,11,0.89011434586065,5,8,0.7506733578573324,8,9,0.881914320445928,6,9,0.5956521674684347,1,9,0.8324241524208449,6,9,0.7442270678876822
79,8,10,0.6501848643185928,5,6,0.752820755372222,6,13,0.5630210239054736,6,7,0.5994337170526448,4,7,0.8027710623328856,10,13,0.6732311778457383,6,10,0.6353846860756764
80,5,11,0.805305395937439,10,5,0.6654704215403825,5,6,0.5506673788712887,6,13,0.649913192214018,2,10,0.07737206749893821,4,6,0.7218317199172253,2,11,0.6191507582505671
81,5,9,0.6461147719124241,4,5,0.930576997218052,7,8,0.7273285527303694,6,7,0.5785628969906773,5,9,0.8222269069917181,4,6,0.6150285673311204,1,6,0.41550290841818194
82,4,5,0.5701057089933594,1,4,0.37472045327152426,6,7,0.5588907104264913,1,8,0.7485806294063587,5,6,0.6598777949540874,9,10,0.7931554515995668,2,7,0.6246204330963405
83,1,3,0.5822021417866676,4,7,0.8270165855670535,7,9,0.578740269104376,5,6,0.5901102109917821,13,3,0.42692127080978937,6,10,0.6512930240250665,10,13,0.5725289510687375
84,6,10,0.6023848377469668,10,2,2.5329303152688e-06,8,12,0.7918647371840446,2,9,0.4517927335473856,5,1,0.4052593461505928,1,6,0.36562845925482834,6,9,0.38549458117023383
85,13,3,0.3555074822159039,6,9,0.6576972991758738,6,8,0.5172877394821045,5,12,0.6154555336264508,2,12,0.5913867059049567,6,10,0.42806490875816605,7,10,0.2510557178909193
86,10,9,0.3462175307662225,2,6,0.3180809822866355,4,8,0.7044386483367119,5,9,0.8447354202832089,9,10,0.5164012048183333,10,1,0.3252917037028211,7,9,0.8442378634842698
87,2,10,0.4562061886814087,1,6,0.3585362478655526,5,8,0.6688155094980837,1,6,0.023133172080537223,8,10,0.30728933153705795,4,8,0.8931970378557085,4,9,0.8667626164582236
88,2,12,0.6513572024041832,5,6,0.5968720831783603,4,11,0.8475964850812698,1,4,0.3966722056129951,5,10,0.728304479903744,10,5,0.4507047770415922,6,10,0.26417063245717143
89,1,3,0.2567864674864879,3,5,0.7712106936636156,5,2,0.5707723111611744,2,8,0.6564756474558531,4,8,0.6974446061523174,6,9,0.39733253635500776,1,4,0.6239947297155122
90,6,10,0.5091363704888696,1,7,0.26234209238355133,5,6,0.4965444195803784,1,2,0.19250715299081578,4,11,0.728737874936825,4,6,0.5465931524820467,1,6,0.4185769789008379
91,1,6,-0.0448604572387874,2,9,0.6209538632332472,1,8,0.6673223430081754,6,10,0.20109775014147047,7,9,0.6298310420561111,9,7,0.7590872035467625,4,10,0.7773076207688878
92,1,2,0.2155797791383396,7,1,0.42383635793885077,8,11,0.8395235217432487,8,12,0.8369984496269944,4,9,0.7760098911962552,4,6,0.6176106217190509,6,11,0.7637821190130796
93,1,13,0.5328614813652321,4,6,0.6910819648844114,4,5,0.9224891061895317,4,10,0.8141372628799863,1,12,0.6098022029433805,8,10,0.6907189013107252,6,11,0.7593561601274674
94,1,3,0.6380849939521707,11,12,0.7990616245983775,9,13,0.7875016985600297,4,6,0.67571157677966,5,11,0.9177973764865061,5,11,0.8290594912085233,4,5,0.7609753803807027
95,6,2,0.33861421958857907,1,4,0.759167490494941,4,10,0.8269756034924807,9,1,0.8090765235800403,8,12,0.9209320052297194,9,10,0.756547760171726,4,5,0.6484711312040303
96,11,12,0.8242434665612846,11,1,0.5873584316990563,2,4,0.7574033232888524,8,12,0.7449548540770542,2,7,0.5948337807368065,1,7,0.5567281488650457,4,10,0.7291039206372634
97,2,5,0.7039548464926468,8,1,0.7813030353191696,4,5,0.8701513129216754,12,7,0.8938083902166206,8,2,0.45898593450513425,11,12,0.9259619792540722,8,6,0.7964208431174141
98,2,9,0.5729614342026126,9,8,0.780056615864277,8,5,0.8568478488027345,6,12,0.8127182435028861,4,6,0.7709268670973226,4,10,0.6941825330356566,1,11,0.655097575187342
99,8,1,0.7745904795060777,1,13,0.2676243058632657,7,10,0.7279716951276706,5,9,0.9253746098042621,5,6,0.8507742600634667,12,9,0.91718974296202,6,10,0.4501238600826819
100,3,12,0.8417921305571601,3,4,0.8577180821399818,1,6,0.6454977679159413,6,8,0.8097028498435045,1,7,0.5173243829546955,8,9,0.9096892684009742,5,6,0.6345696107963021
101,2,3,0.6957559170522203,1,6,0.48428634114638247,3,4,0.688069399859972,5,2,0.7998241000299641,8,6,0.7830005681585258,5,6,0.5507607720305335,1,2,0.48144567700543206
102,6,11,0.46276874722302364,2,10,0.06278754003138898,4,6,0.1310351159727834,5,6,0.5788346219442895,10,11,0.5002459507245574,3,4,0.35985439991214263,8,10,0.847957220060289
103,3,6,0.23597663700506644,1,8,0.3640254857182781,10,13,-0.02713503677643847,1,5,0.3325218679979203,1,9,0.518982913426093,2,8,0.5702135902415486,6,10,0.48488071895195783
104,1,3,0.34801960909160246,1,12,0.5221777522020546,4,5,0.832622368270534,13,4,0.24858760059331997,4,8,0.6120256213847006,7,9,0.7004809446095458,6,12,0.5535427930700173
105,3,1,-0.23467071365870518,12,1,0.3442224220061709,11,1,0.38308692197918703,4,8,0.6993995217607778,9,12,0.7765334635346512,10,1,0.378065139600527,6,8,0.40169382399468256
106,5,6,0.23631986001787175,5,7,0.802556392795959,4,7,0.5363708887031681,4,11,0.5137303107000841,4,6,0.26981878230782885,4,6,0.7097083791116512,10,12,0.8243259046583966
107,5,6,0.8360759681034804,6,8,0.6547852069194184,1,8,0.5096220156964577,4,5,0.7014554508631412,6,9,0.3465580447164567,4,12,0.813925812813,11,8,0.7710633702217167
108,4,5,0.11336898173406373,7,5,0.5543576311524475,4,6,-0.34897399220319625,5,10,0.3763984115442779,4,12,0.6660768338780494,6,11,-0.10167627387464018,6,11,0.585488705256905
109,6,9,0.3089801878243851,12,13,-0.07819038545156931,7,6,0.0649264439445496,5,12,0.6322998495596344,6,11,-0.17371252665038872,6,10,0.30884599739959384,7,10,0.050927055892302175
110,4,13,-0.2560007253518155,6,8,0.25909428831462,5,6,0.19074731396118494,10,13,0.462701325465681,4,6,0.3729013231389644,6,10,0.35168423188389175,5,7,0.7161377751561975
111,5,10,0.6852237795250757,1,10,0.16548491736969329,5,6,0.799970354266086,8,12,0.6795363472669729,1,5,0.6855604702646385,4,6,0.8023404051832501,1,2,0.36478600986323195
112,1,4,0.6985735674953636,2,4,0.7114464385247627,5,9,0.5920355407491837,6,1,0.19669204730621193,4,5,0.3802397910047587,1,11,0.4328974021639288,2,6,0.14564147455931864
