,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r
30,30,30,2,5,0.8104884486225464,1,3,0.3906884602070516,1,5,0.6917926281634651,4,10,0.813866128475509,5,8,0.90815309239702,2,6,0.2452473232879495,1,5,0.7154715244032476,6,10,0.738675164173425,2,8,0.8265860396546334
31,31,31,2,4,0.6429455207004279,6,11,0.2718499459138231,9,10,0.5728099058899117,6,10,0.0687593012778635,9,11,0.4115657845154929,6,7,0.7762910244598684,6,3,0.1511788048911525,6,10,0.17089055774634954,2,8,0.4963680585498313
32,32,32,7,6,0.3551428385592519,1,5,0.2393879589991551,10,12,0.7942068169647608,10,9,0.6037077465226077,5,2,0.2548766494784624,2,4,0.649258514017478,1,13,0.3823051312936509,6,10,0.557003492355336,2,8,0.7650175911059368
33,33,33,11,6,0.5001762218570778,7,12,0.6660225602852547,1,5,0.3818666455413797,4,9,0.9321749673672834,12,10,0.4312370550813184,4,10,0.7176371355905381,6,7,0.4617249097281215,6,10,0.4257236125729684,2,8,0.3290604455409419
34,34,34,12,3,0.4074371318215614,2,6,0.3765262247104105,6,7,0.222345765763742,7,1,0.4175356024438266,6,10,0.5881514468262972,8,2,0.63284445236699,3,10,0.3187597401594402,6,10,0.32951622744494513,2,8,0.2962957027115146
35,35,35,12,11,0.6303311304010394,10,12,0.3991633300701369,4,10,0.5491915493583993,3,4,0.7056790243824257,2,9,0.1378708892611658,1,11,0.629314146054309,3,4,0.7310105903547575,6,10,-0.18929193316448356,2,8,0.4147548856066424
36,36,36,8,10,0.3637130077854547,6,8,0.3505430693844843,5,6,0.2418901742455717,6,7,0.34703431421699,3,6,0.2136001893675866,1,6,-0.3055116104009876,2,8,0.4896599365019949,6,10,0.493209895823266,2,8,0.5226391831405897
37,37,37,13,7,0.5341716075599907,6,7,0.0994976856585584,2,6,-0.312324482991019,3,6,0.1552725216979434,1,6,-0.1486119664480667,1,6,0.1744615115575993,10,6,0.1253965934876366,6,10,-0.07665129721560415,2,8,0.5572708068479925
38,38,38,5,6,0.6861186291670376,8,13,0.5378432980499308,8,13,0.1613609030276537,2,12,0.4022255469760537,4,7,0.7637729201962203,1,5,0.4305425921446217,10,7,0.5186318021742344,6,10,0.027797457574146867,2,8,0.322571259129802
39,39,39,5,11,0.8891517867844905,12,7,0.4502755982987774,4,6,0.5950589092108529,5,6,0.6566478605629922,12,3,0.3441745478274808,2,7,0.6605790768742641,1,10,0.3022740026034587,6,10,0.07164506317796981,2,8,0.7456694319853605
40,40,40,6,8,0.8164690588328746,5,4,0.7710528253614493,6,1,0.3511247073825296,13,12,0.605269712716215,5,7,0.7776044865493902,6,11,0.6300857251993492,5,8,0.7347270162827342,6,10,0.4285649340691555,2,8,0.7266780438462905
41,41,41,6,1,0.4069599136775736,5,12,0.8572765345195283,13,5,0.8416322712295883,7,8,0.7294574333718746,5,6,0.8012041293613694,1,6,0.15361746204004,13,6,0.3862129170781898,6,10,-0.020426136365219172,2,8,0.700014732938801
42,42,42,1,2,0.4673368758595393,9,11,0.7957690922633841,13,9,0.719358334255294,7,11,0.7119548158056254,10,8,0.439847349836301,13,3,0.4846353889647319,6,5,0.7065557735323447,6,10,0.516378511583595,2,8,0.4710350420362731
43,43,43,5,9,0.934842797730377,7,8,0.8221522488537372,1,13,0.5080589072285515,4,5,0.820798227683246,1,10,0.498236405024856,3,1,0.3758852718009462,6,12,0.5400363730271185,6,10,0.4432284356616114,2,8,0.5736423560670727
44,44,44,12,7,0.908311404082794,8,6,0.7095354574229868,1,6,0.1101809867748827,6,10,0.5254425931020146,3,6,0.5375388619315327,3,11,0.7577865202492009,2,4,0.3871688239045097,6,10,0.3595849066400506,2,8,0.5855521882829918
45,45,45,7,9,0.6752067402749751,3,6,0.3547168149401699,3,12,0.7169307381161097,2,5,0.5705998826170431,3,13,0.4470735200833717,2,6,0.1758136811124069,11,10,0.6281325474708634,6,10,0.297535813943375,2,8,0.5765750384162479
46,46,46,3,4,0.7911742357791066,8,13,0.8314478090671171,3,6,0.6170295687928105,7,10,0.7344248981144987,12,6,0.5253868005632402,1,2,0.4754022162444425,4,12,0.7855484567678328,6,10,0.2866047921649302,2,8,0.5815360320988829
47,47,47,1,6,0.1575468130592814,4,7,0.942943018859536,2,8,0.8245637912312116,1,6,0.6694469288249236,6,8,0.8667941880290677,6,8,0.7789606871282686,9,10,0.7298396188591713,6,10,0.4894726398149508,2,8,0.7363772129408466
48,48,48,4,7,0.9428299325446166,10,11,0.7140659756462748,8,13,0.8747975993764039,4,5,0.957330594035471,1,2,0.0870662456811691,1,6,0.3228795592745739,4,10,0.7782458067386439,6,10,0.5720965873304003,2,8,0.579007887806001
49,49,49,1,2,0.5564204131126846,5,4,0.7885883578444499,6,13,0.6056607486371357,1,4,0.7190067836390899,10,12,0.585042388140571,11,4,0.8277750406287224,1,4,0.7370771153011324,6,10,0.6510004139381755,2,8,0.5454033812040081
50,50,50,4,12,0.8802322227281101,4,10,0.6060425313487358,8,9,0.6939424960413816,6,12,0.8431877291344941,6,9,0.6864879244561239,10,6,0.2110020083916598,7,11,0.8220972625930485,6,10,0.5422215181466241,2,8,0.7986176850320243
51,51,51,4,6,0.8254511095583037,4,5,0.7208571813786713,8,13,0.8512906913203646,8,13,0.6819319839086578,9,10,0.7321497601882985,6,10,0.3976567682160934,1,10,0.5880184861576087,6,10,0.3760332955502689,2,8,0.7750190980753434
52,52,52,9,11,0.6443218002491913,13,9,0.7474600905912094,6,12,0.7017280021819559,1,3,0.5172264018052766,1,5,0.6964280870755571,1,2,0.4355737983090598,4,6,0.7693286419761161,6,10,0.5217660103589539,2,8,0.5849860038438999
53,53,53,1,3,0.5822706085561496,9,10,0.555851989827961,5,8,0.8328399340964476,4,10,0.7871536153038051,6,10,0.6528113415342679,3,4,0.7494415355729851,5,4,0.8112089575088597,6,10,0.5191944614587416,2,8,0.5308969309501141
54,54,54,10,4,0.8307698917021208,2,12,0.4143132485559861,6,2,0.2982499752605402,4,3,0.7179714183150626,1,6,-0.0152636253422577,9,10,0.7057624656187893,2,3,0.621761526411168,6,10,0.22135291200631912,2,8,0.6000514578635245
55,55,55,2,11,0.6840671860801608,3,6,0.5097168550903692,1,3,0.3265774833350081,11,9,0.8970498377209751,10,11,0.7386483192206456,4,6,0.5555043093249066,5,10,0.8611904673523404,6,10,0.32615750249362363,2,8,0.7195401579737891
56,56,56,1,9,0.3346877699219278,2,5,0.7977785348390705,4,6,0.4564204730214836,1,4,0.7697939356475499,5,10,0.7815733905267783,1,6,0.2739117155593562,6,9,0.5164841614911582,6,10,0.34786171914930764,2,8,0.5176422941127699
57,57,57,13,10,0.5173379840765682,1,12,0.5775223227147361,2,5,0.7639390947326234,5,6,0.400878687450273,2,6,0.3351413884816172,1,6,0.3578446153223243,4,8,0.9241131809625296,6,10,0.07818514662414255,2,8,0.6872778402112716
58,58,58,1,9,0.4681042800168181,6,1,0.1870849890265007,8,13,0.7546362282313932,1,2,0.0954124952863879,8,10,0.5239756868472951,2,5,0.5493418954714606,7,8,0.7407773237040534,6,10,0.6258366016962371,2,8,0.7077579953394395
59,59,59,1,6,0.1483090111492486,7,13,0.4234298329216894,2,5,0.8089895559958387,5,6,0.8305772061807857,5,6,0.6372655873595492,6,7,0.4924975239669911,11,2,0.5559888778746022,6,10,0.4500061726294985,2,8,0.7657596984015372
60,60,60,2,5,0.5869657622829838,1,7,0.5182839659994289,13,8,0.5213481395087664,9,10,0.6434921587517664,1,4,0.6301105021892207,6,10,0.4829444571359347,1,11,0.5761742300943054,6,10,0.21178941876681978,2,8,0.4828943981605508
61,61,61,2,13,0.0319906690830356,3,13,0.2713787184405354,8,3,0.6625022325325681,9,11,0.6313309652534709,1,6,0.2912002241191587,8,10,0.6320154347581989,4,6,0.719670198399027,6,10,0.2658748073660746,2,8,0.5491246896052496
62,62,62,3,7,0.5990032791235285,1,5,0.7675364565533929,2,3,0.3002569988727215,9,10,0.5462070781497039,10,3,0.3814747864116659,11,5,0.8477687061684666,2,6,-0.1201894872012716,6,10,-0.0020280277530071444,2,8,0.6251875622371308
63,63,63,13,8,0.6928088714251948,7,11,0.8732422479609955,4,10,0.6947011180787084,9,6,0.5069026135163847,6,8,0.584936643028674,7,9,0.6622791842072251,8,11,0.8875145541529741,6,10,0.5447424030842559,2,8,0.5735444667975909
64,64,64,5,8,0.8522071561487531,1,6,0.2684222913397834,2,6,0.3841127184748975,3,9,0.5141304756182847,2,11,0.5679683158232521,10,13,0.6484866518904815,5,6,0.8614166443908263,6,10,0.27819949214342365,2,8,0.6946718349711855
65,65,65,7,8,0.6660130975708558,1,3,0.2747134506461642,4,6,0.3367891350989505,6,1,0.3969309246296078,11,12,0.9085683912894432,3,4,0.490991661780417,7,10,0.5990125607429703,6,10,0.2650465227119915,2,8,0.6197569123877479
66,66,66,3,6,0.1210526815803498,1,10,0.434929709729552,4,2,0.6127426469505528,9,13,0.5505549450943266,1,5,0.7524029125306427,2,4,0.3866259657315053,1,7,0.7339254291202064,6,10,-0.04701726584237065,2,8,0.7329720177465155
67,67,67,9,8,0.921976633956408,7,12,0.8273398364925768,8,10,0.7261423658277446,7,10,0.7869491768789296,2,5,0.7797019907947109,1,8,0.4466063879635421,2,9,0.7006078146775891,6,10,0.4845459293458738,2,8,0.2469785985567819
68,68,68,1,3,0.1736982552458258,11,10,0.7222680034852922,2,6,-0.0539622480418855,4,11,0.8786151553718647,1,13,0.5599538076647221,1,12,0.5636508155243571,5,11,0.5602457532777736,6,10,0.496195827710165,2,8,0.7960941753984668
69,69,69,1,2,0.226378781224917,3,6,0.3683458034461887,5,7,0.7041986311789186,2,9,0.7160655338645284,3,8,0.7337702343074857,1,4,0.6531593221596173,2,4,0.7453680073436676,6,10,0.4721171639379933,2,8,0.6021629992267248
70,70,70,10,11,0.8462945675373805,2,8,0.6204194288392663,11,13,0.5344780791671457,5,7,0.8929977271800248,6,5,0.8042796547685774,4,6,0.5857326364118103,6,2,0.1691909801934947,6,10,0.4208231488023806,2,8,0.8096602330576861
71,71,71,2,3,0.5221542480877905,7,13,0.820476234042598,2,12,0.4103712903657277,6,7,0.6909243443725932,5,6,0.8132734839512178,10,9,0.5657600635977819,1,5,0.8110440553226003,6,10,0.2383035341956088,2,8,0.39558282764281
72,72,72,4,5,0.9004576339366277,7,10,0.7751113530795686,6,10,0.4155094061569565,1,5,0.6894309538263133,1,8,0.745564508311059,1,7,0.6217590563214561,2,10,0.2064084120761602,6,10,0.6431961921124675,2,8,0.6515100233497548
73,73,73,9,10,0.8554447978270103,3,6,0.4220450226036977,11,6,0.8486257104996232,2,5,0.7764077008721844,5,8,0.9404199705951376,8,2,0.4279782122625145,5,6,0.6385701799664092,6,10,0.4218515112762301,2,8,0.6903085530872828
74,74,74,2,3,0.6820776121593667,1,8,0.662529189298778,3,6,0.4064679071375551,9,11,0.6766231611135294,10,12,0.7337768436245498,9,12,0.819687964726572,4,8,0.897631362212133,6,10,0.5879613212990968,2,8,0.7306336616686501
75,75,75,8,9,0.7722239621266198,11,2,0.8141935728125529,9,11,0.7002796990117831,1,9,0.5696915238648503,1,6,0.3287455622337059,6,12,0.7475134324202982,1,2,0.3335277859125576,6,10,0.3361709786948571,2,8,0.5946179767480887
76,76,76,5,12,0.6588564090318905,7,13,0.8071764286166758,8,5,0.879310596386562,3,4,0.6582599030385688,7,1,0.4410615583048867,9,5,0.8410502469007268,3,6,0.4411645916636033,6,10,0.5364348565990296,2,8,0.5537479463379607
77,77,77,7,9,0.6513910421501958,7,8,0.9263924519045766,13,10,0.7788002127781526,5,11,0.77981400357608,2,6,0.6141862604922103,6,11,0.7159731931624533,6,7,0.6264825165333223,6,10,0.3529981905813099,2,8,0.8165021653699127
78,78,78,10,2,0.472523646441887,8,7,0.7498713234751331,2,8,0.5254375569864648,8,10,0.5830221227408028,2,6,0.5284956957869632,1,8,0.7701271039708281,1,6,0.4021691156615705,6,10,0.6386590200194739,2,8,0.7906166058702518
79,79,79,9,12,0.8320237358766277,2,6,0.1896382385300237,1,9,0.692741946805767,9,11,0.922628661279136,8,9,0.8725103437272481,5,12,0.7538917149845427,12,3,0.661438212415912,6,10,0.5663797805650674,2,8,0.6974969172760421
80,80,80,7,3,0.6433177069852452,1,6,0.3892738731962116,4,9,0.7687046327588434,7,5,0.9225659832960216,2,6,0.234092584668456,1,12,0.7185236565109349,6,9,0.6598559556710564,6,10,0.1344743544654382,2,8,0.7157627409949137
81,81,81,6,12,0.8233207711707405,1,6,0.1302121274208457,4,13,0.8785992189013715,4,13,0.7777466533295481,3,6,0.3176611321451519,9,12,0.8763414906653367,6,8,0.5616915589781589,6,10,0.36137598288971584,2,8,0.7015173292788036
82,82,82,6,12,0.2635454863851564,1,10,0.368697833154153,6,13,0.3995647287258883,9,10,0.5780939278747647,7,8,0.7577670173039915,6,7,0.534858958565851,2,3,0.329800992548249,6,10,0.24086306237317245,2,8,0.7662738077797472
83,83,83,5,7,0.6701726678076662,1,4,0.4620941755388871,5,10,0.3288106713544889,1,6,0.0433224208973355,7,9,0.7166824287358322,10,5,0.6636747250204552,8,4,0.8916559331309017,6,10,0.6740223910978184,2,8,0.854565596282407
84,84,84,1,7,0.8156260179615288,5,7,0.8611501069073646,3,9,0.7067763027071046,4,11,0.7024867539107387,6,8,0.5382351279427708,13,3,0.2495416524810391,1,6,0.2403813667756826,6,10,0.37694489728704195,2,8,0.5613344264385942
85,85,85,4,10,0.740377622187808,8,11,0.8356777622739169,6,4,0.5292061129849893,1,2,0.191032342254945,2,4,0.6936099571901362,3,9,0.7576473259160831,9,12,0.6408136021401938,6,10,0.6662160648607021,2,8,0.6719673278725977
86,86,86,6,7,0.5365109790163147,1,7,0.5161228073329954,9,11,0.6635925483453822,3,4,0.7327615336166922,8,1,0.6091016055567472,6,5,0.3938338640975442,13,5,0.5578598539666219,6,10,0.3013892999259984,2,8,0.287330166583383
87,87,87,5,11,0.7824554812333958,1,4,0.6446735387326398,6,12,0.5109835197553928,1,7,0.530700796413818,7,8,0.7393205595803243,2,4,0.4620718300233555,10,8,0.6623060461151594,6,10,0.3560618171162012,2,8,0.7086600878329776
88,88,88,1,3,0.0677860283587079,1,5,0.4523267895246308,7,11,0.686244648156244,3,4,0.6708761579338394,6,8,0.5268557334406281,6,11,0.4747413026705253,1,8,0.5296669253516557,6,10,0.39913699783259626,2,8,0.6471871483272276
89,89,89,6,4,0.5247361193141356,3,7,0.778422828886939,5,6,0.4580016533166064,5,10,0.6645858019663167,6,7,0.7043631879194794,9,10,0.4560777298995906,2,3,0.2375142927882236,6,10,0.34808711947396653,2,8,0.4918098575012078
90,90,90,1,7,0.552785127873954,12,6,0.6521007303192163,6,10,0.2937633727346337,1,6,0.4198305313132775,9,8,0.7374776215610641,1,2,0.3499594413456139,1,6,0.4992001057498511,6,10,0.4252516276487456,2,8,0.3353626803113361
91,91,91,1,5,0.5030390009197343,7,1,0.5343220085060246,10,11,0.5369887754866831,12,1,0.688838553299046,6,10,0.5308778464697359,6,7,0.7812874046983407,1,5,0.4578962776007612,6,10,0.39578608030583706,2,8,0.8638193257804405
92,92,92,1,4,0.7948717103963383,5,13,0.8543184741591854,6,9,0.5667768291625828,1,5,0.378819798132574,1,4,0.6804599550314552,12,5,0.844103809745843,3,2,0.548005725161947,6,10,0.23736794531826733,2,8,0.6538787719953717
93,93,93,7,8,0.7267329771162487,3,4,0.7515954192569649,1,7,0.5483172276542815,1,2,0.5359087371432811,10,13,0.539630486535424,6,9,0.434035595588917,1,4,0.6415294725126932,6,10,0.45321627610478776,2,8,0.6501350615656171
94,94,94,5,13,0.521475235504816,5,2,0.7355305756576442,1,8,0.6512146551694146,3,6,0.3234793930535746,1,12,0.6179788834505092,2,4,0.8013337615620959,1,6,0.5476137620381201,6,10,0.597592841331217,2,8,0.5137711998760848
95,95,95,4,11,0.8158549260689021,1,2,0.3015771104516699,5,8,0.5829490099610615,3,5,0.8376616633855027,4,5,0.7154823952015399,5,10,0.4791480059482499,1,12,0.7521333282050597,6,10,0.2211875248229137,2,8,0.8304993986978302
96,96,96,7,10,0.5299023611492293,8,9,0.955198206286326,6,3,0.3890785475637748,11,5,0.9190998014745884,2,3,0.4903641858093365,7,2,0.4804655321669441,1,6,0.2868537153831453,6,10,0.28597913803808184,2,8,0.5381362870248466
97,97,97,3,7,0.5592188758516441,4,6,0.7976843605997426,7,12,0.6379618986469271,7,12,0.9320933673662368,7,8,0.8827031482564015,4,6,0.6756066418318311,5,10,0.5146458042071966,6,10,0.6390354366504021,2,8,0.8282862326514322
98,98,98,2,8,0.5115061267684607,4,5,0.8722867450475349,1,2,0.4787602160294215,2,9,0.4780421253687515,1,9,0.7412656806580386,1,4,0.6305175030061618,11,12,0.9264552843998904,6,10,0.505118560193218,2,8,0.8659910161112607
99,99,99,2,7,0.6993743450582658,1,4,0.758668371790113,2,5,0.8216941571154392,6,12,0.6971163876314574,6,13,0.4503015089535006,1,2,0.2555935091472017,1,9,0.6647463716805687,6,10,0.6277191744528242,2,8,0.5243918748767961
100,100,100,2,10,0.518860621563327,1,8,0.6311202367422875,8,3,0.8180645925485648,2,1,0.4652946159080066,5,9,0.6909955530962809,12,11,0.8911646646487186,1,6,0.1905099464085988,6,10,0.6694498648352358,2,8,0.8228086029975259
101,101,101,1,10,0.4598612931765066,9,8,0.7806104189292679,8,11,0.7795876775151986,1,3,0.7128379811070404,7,10,0.4984753645817817,3,4,0.8357658383812128,6,11,0.8213851854992843,6,10,0.4484891473208654,2,8,0.6311941673083116
102,102,102,2,5,0.4878411856721714,4,3,0.2926361683869434,1,5,0.5298128902909764,1,4,0.1594942948085865,4,10,0.8122330629122103,2,7,-0.0623539733348039,11,8,0.7790803390850767,6,10,0.4382736252341698,2,8,0.2416308761916703
103,103,103,3,6,0.4325109646334775,7,11,0.6676045642339664,6,7,0.3032337717503921,10,8,0.4814514729296427,4,13,0.6685441420643644,10,6,0.208777150333335,1,4,0.4323423991368745,6,10,0.5779746118168063,2,8,0.7135673533210806
104,104,104,12,1,0.335559279160964,8,10,0.7332731778464001,13,11,0.4927813902176465,2,7,0.4624515696309124,6,7,0.124263728754151,1,10,-0.1267048989537329,9,11,0.6502117596651044,6,10,0.17151989658023603,2,8,0.4405902604169218
105,105,105,11,2,0.5305652762787195,10,11,0.6533458369292541,3,5,0.6227969365293705,6,7,0.5302633127680769,1,11,0.2862689749438126,12,8,0.4606905678373523,7,8,0.6051144126201545,6,10,0.40150473106124596,2,8,0.1692617266327704
106,106,106,5,6,0.6363626028339557,10,12,0.3765863437563204,12,6,0.3418637377458127,12,2,0.3521179240451908,6,4,0.169412092367598,2,4,0.5201062372470934,2,6,-0.3362855904825395,6,10,-0.07615051364262104,2,8,0.4936095866293147
107,107,107,3,6,0.1846007969681884,1,9,0.4164671438304119,8,13,0.4604049457683068,10,12,0.3862967809431293,6,11,0.6862695157676606,1,7,0.3120499374050416,6,9,0.3813820039428068,6,10,0.427395337838981,2,8,0.5844604415097854
108,108,108,1,4,0.5729304304189907,12,7,0.284110702568496,6,9,0.1963729231101109,9,3,-0.5396445932385303,1,7,-0.1964310816182863,5,6,0.3464475933516543,6,10,-0.3463372162501164,6,10,0.6084238477105331,2,8,-0.0447035815665834
109,109,109,6,8,0.3841704002817425,5,11,0.6316725071399681,5,11,0.7527329034949821,1,5,-0.2343202493695535,1,12,0.4873181503074015,9,6,0.4071881495457269,2,3,0.3085919378354409,6,10,0.4845447880716591,2,8,0.4739276917287102
