,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r
10,10,10,10,10,6,9,0.546179645994558,7,9,0.8409204550188929,10,4,0.7509206792878778,5,8,0.8510380428273199,1,2,0.4558941904070123,4,11,0.39790500395736117,2,3,0.9290086019892165,6,10,0.3639950055864187,2,3,0.8357876542095936,2,3,0.8642556206311903,1,13,0.23585211002914253,10,12,0.7983662812209603,3,8,0.8718397405905354,6,10,0.317666311476783,9,13,0.7965664705780502
11,11,11,11,11,7,8,0.9126693358464432,6,5,0.6094178677114932,2,12,0.8766367128604646,2,8,0.9071800969667501,6,9,0.9192421889113662,5,3,0.8175260631970866,7,12,0.8908650059384233,6,10,0.6115164464960838,2,6,0.7029288098315628,10,1,0.8690603974589898,4,9,0.8629757328803827,6,12,0.5242500482024313,5,6,0.6872197745113914,6,9,0.7707861513483926,5,1,0.853691424187463
12,12,12,12,12,4,10,0.7919077644969733,4,7,0.6933815680316695,5,9,0.8839427672272174,4,10,0.8090780390121574,6,7,0.7867081029610864,5,7,0.6395619438091517,6,10,0.4665575572266787,6,10,0.2326961832604446,10,4,0.8759549866395616,4,6,0.550324290498159,3,9,0.918862625710388,8,7,0.9226280834499876,3,8,0.7950836470014083,6,2,0.290180124960271,10,9,0.6181064865877355
13,13,13,13,13,3,8,0.7500841398428246,4,5,0.6093485249111444,8,10,0.8964040036247036,8,12,0.893975067266604,5,8,0.849471873547075,6,12,0.8451918539032472,6,12,0.7967188211842898,6,10,0.6168220917204805,6,7,0.5791471488893325,2,6,0.49862155907806927,3,9,0.8502975528420171,1,3,0.3074027249187051,3,7,0.6721569312113612,7,9,0.7840463673967356,7,9,0.7283022088948539
14,14,14,14,14,1,10,0.8365351708790185,4,12,0.6524759134752169,3,5,0.7923435926006248,9,10,0.9471115080637632,11,7,0.7127549258818617,12,7,0.8089718244545632,9,12,0.9258123386320466,6,10,0.7247825493794046,1,2,0.8091377825592422,8,5,0.7798101749303997,2,3,0.8775762177492317,3,13,0.3645447477860692,5,9,0.7865313263623354,8,5,0.8345015470497288,2,6,0.4293648029556137
15,15,15,15,15,3,5,0.7805078832961656,1,5,0.7050293527018346,2,4,0.5056771732521917,12,13,0.6753669675845116,2,7,0.8593628831079904,7,9,0.9216284450759612,8,10,0.8267626244637618,6,10,0.4092340591884609,7,5,0.8737720049102501,4,6,0.49460638092380327,12,13,0.6529028423802763,7,8,0.8876025869808545,7,8,0.934629308725216,2,5,0.8312371874999536,7,1,0.6148310660727032
16,16,16,16,16,1,13,0.4399615774766912,2,12,0.8817193393125891,13,10,0.8481344008564903,6,3,0.7879193123646091,4,8,0.7780027282397203,1,6,0.2209763152330102,2,7,0.931907143874343,6,10,0.3921772910621356,5,9,0.7608893271565565,9,12,0.8480798184794356,8,13,0.5661208472829234,3,4,0.82322247158299,5,13,0.8841886874794794,8,5,0.8788735941614978,13,6,0.6429522504594651
17,17,17,17,17,1,9,0.7195989749186172,6,10,0.7541149590442717,3,4,0.5597381698188092,9,2,0.8039848035377929,8,2,0.7808214228972699,12,6,0.7484530559199096,1,3,0.6187674981479543,6,10,0.4021200552586187,3,5,0.5404373453137841,13,2,0.6462373491424624,2,6,0.6152358576895285,9,12,0.8768525994217005,1,7,0.5796710396130172,8,9,0.9296752632135508,9,4,0.928471155979363
18,18,18,18,18,4,9,0.6275760472747951,1,2,0.6353109440076238,5,1,0.684809215711912,4,11,0.356383466515082,6,10,0.7328464678434774,7,13,0.6400623799492772,7,9,0.9224578065477205,6,10,0.3567465690881666,6,10,0.7334305004170996,13,11,0.5520035688576432,11,5,0.7376279263804979,8,4,0.917694676480855,1,5,0.8964875298111642,3,4,0.7978013916374449,11,10,0.6785212441350599
19,19,19,19,19,5,10,0.6717848678241636,4,8,0.9140327665256397,1,6,0.4354288204872311,2,12,0.7709840080502299,4,9,0.8169321204368197,12,6,0.6701534579879898,13,5,0.6614905009655665,6,10,0.4020406393607252,12,2,0.7554390329538179,10,6,0.7321848069778283,1,2,0.6399134544107163,12,7,0.8154442064918508,8,13,0.8760796370883456,10,13,0.6753413874761012,1,5,0.5198820372226739
20,20,20,20,20,5,7,0.7955038313011505,7,5,0.8343985032717951,5,6,0.5762469323618096,4,8,0.6490328335571289,12,11,0.7045419092354237,10,12,0.888127867995159,7,10,0.9579849442706673,6,10,0.1588505006742604,3,5,0.8287590466818301,2,10,0.8094041037420747,6,9,0.8686861181335217,1,9,0.8398589377431436,3,13,0.5576127200955314,4,11,0.8037070484951289,3,5,0.5690756290144254
21,21,21,21,21,3,12,0.8185564413054411,4,11,0.6763946955601856,6,13,0.1416474868311981,11,13,0.6149952253445097,4,5,0.5026826928879872,10,11,0.5769590508989036,4,7,0.7450121698633745,6,10,0.609028916853729,5,6,0.4024862786966794,3,11,0.7028424219596731,4,10,0.7435431678308193,4,11,0.9169277607522806,4,5,0.845002535134528,8,5,0.7723636958810821,1,9,0.7511721266087383
22,22,22,22,22,2,7,0.7770751905175683,5,12,0.7400200084786622,5,6,0.6321103162811694,11,13,0.10226741618061597,4,5,0.24815219819321777,4,5,0.511682034068504,9,10,0.8221466883806695,6,10,0.1070567614815987,13,2,0.5171449714212315,5,10,0.7026270563998143,3,11,0.5860013754662942,2,6,0.5397074452282362,4,9,0.720901889398551,12,13,0.6347042617572964,3,5,0.869098958182775
23,23,23,23,23,8,9,0.9127521552631599,5,7,0.8559114632933447,9,11,0.8829296942592995,11,9,0.8613151031691262,6,8,0.7564400146772868,8,13,0.6738170740068226,5,13,0.7194306126301494,6,10,0.53772281390414,10,13,0.841469625728644,5,6,0.6262409802411109,8,12,0.7632677332873167,8,13,0.5504628842991109,3,9,0.7400200790918467,11,10,0.707907146812399,7,8,0.9147242611943498
24,24,24,24,24,13,2,0.7893462287538515,1,4,0.46611328779623196,10,2,0.8616937561170999,10,12,0.8908612056763215,5,13,0.5408699676350304,6,5,0.6778588295349195,3,8,0.968364920585033,6,10,0.3900252683017895,7,8,0.9323940560773861,3,11,0.8270374999027179,1,13,0.4115535285018491,2,12,0.7378627296161259,4,6,0.639249134025045,1,2,0.382807344615761,5,13,0.740089172418373
