,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
10,2,5,0.7299009732065375,8,9,0.8858789741940861,4,5,0.5754388801512835,2,10,0.876884925665494,1,10,0.7346115817314427,4,5,0.5754388801512835,4,6,0.5674839627332628,1,9,0.7376968756428898,1,2,0.6620866675991997,11,12,0.7501085399683978,5,6,0.5697506119305912,8,9,0.8858789741940861,13,9,0.7360604782049354,4,13,0.5039048431507842,8,3,0.890433234945063,4,5,0.5754388801512835,5,4,0.5754388801512835,8,10,0.8870576591716712,8,13,0.7312790245300465,2,8,0.8763640109395774,10,8,0.8870576591716712,1,8,0.7337702144915481,2,13,0.6403766523986121,10,11,0.7506325827753617,2,7,0.8507819298226513,10,12,0.8870576591593609,2,3,0.8422800098227042
11,2,7,0.8519999619048906,4,7,0.7620181601087058,7,9,0.8846249829506557,10,2,0.8764071138425107,7,10,0.8841880763980108,8,2,0.8759058008609819,2,3,0.8442289577527293,2,5,0.7320263704919141,13,11,0.5208960780014686,2,3,0.8442289577527293,8,5,0.8013631514135638,3,11,0.7331151499892254,8,10,0.8837066643346627,13,10,0.7354371522988217,9,12,0.8824100582542128,7,12,0.8838040763148727,5,7,0.7633718903104065,6,4,0.5741302038681869,13,11,0.5208960780014686,4,8,0.800031694577975,10,8,0.8837066643346627,1,8,0.7316805037937696,12,4,0.8000316940539502,7,8,0.8838040765060594,3,9,0.891459064953094,7,9,0.8846249829506557,2,9,0.8776829236174809
12,1,4,0.5079962001657689,2,10,0.8684183615564904,10,9,0.8780487078774103,4,6,0.5557323218509875,7,8,0.8770462606909574,6,13,0.4004330626345933,2,3,0.8336841989825386,12,4,0.7910290560946601,3,9,0.8841438556707988,9,2,0.8698543427265826,6,10,0.7382337492765886,7,1,0.6824308992913155,1,9,0.7247400299129754,4,5,0.5645610853225678,1,3,0.6677406529721152,6,8,0.7373288039463823,2,6,0.6568815864285829,8,7,0.8770462606909574,8,6,0.7373288039463823,8,7,0.8770462606909574,10,8,0.8789657736930697,1,8,0.7207593981029982,4,9,0.7944847326003495,9,2,0.8698543427265826,1,9,0.7247400299129754,5,1,0.5103157548868373,8,3,0.882175494087537
13,7,11,0.6969960660845647,8,4,0.76957901580279,3,5,0.7149889682317913,2,7,0.8232201639767284,8,7,0.8598670755268013,7,8,0.8598670755268013,8,10,0.8628758400318411,4,9,0.7731836462039351,10,3,0.8654113033662143,6,8,0.7150695271118348,8,9,0.8618729408457917,3,7,0.8381633393385176,4,5,0.5383964985364904,1,12,0.6942822722616451,10,11,0.7111431635977559,5,13,0.4650840881472559,6,7,0.6701449373573997,3,7,0.8381633393385176,5,7,0.7303176847073654,5,13,0.4650840881472559,10,8,0.8628758400318411,1,8,0.6942822728694462,5,11,0.6059269207128434,7,9,0.8610392443878291,9,1,0.6984080664434291,3,7,0.8381633393385176,1,13,0.3667097268291268
14,5,13,0.5051972332486028,7,13,0.6820372853813932,9,11,0.7585913328952792,1,3,0.6824837292851843,3,9,0.8952402626909767,3,6,0.6876733185952324,2,3,0.8438114707729056,2,3,0.8438114707729056,5,8,0.8031870025925976,2,7,0.8529350321273859,8,13,0.7333253381506408,1,11,0.5271367366916083,6,12,0.7506264142661219,6,7,0.7061584132963126,6,2,0.6693088727870113,6,13,0.4143543911693488,6,5,0.569839390717112,3,10,0.8937743581433557,13,1,0.4169040993071073,1,8,0.7369558617652109,10,8,0.8914022714184381,1,8,0.7369558617652109,4,10,0.8026242320429178,5,9,0.8066463079827708,2,7,0.8529350321273859,9,13,0.7381686652185311,2,5,0.7298638257477645
15,4,7,0.7562450382597681,8,13,0.7279599094604539,8,11,0.7534712982038744,13,1,0.4071869878074883,3,2,0.8388225594297543,3,5,0.7406088113968465,1,2,0.6569468343861251,7,10,0.8875771868948631,3,4,0.7392450517573604,3,7,0.8627665912751825,3,8,0.8905463409076617,8,5,0.7994362154926616,3,4,0.7392450517573604,12,13,0.7279599085435338,4,7,0.7562450382597681,2,6,0.6622124375990031,2,8,0.87675268201213,6,3,0.6804364257135993,3,4,0.7392450517573604,8,9,0.8902473080864547,10,8,0.891212961646064,1,8,0.7322358401530216,2,3,0.8388225594297543,2,4,0.7224879594813411,7,9,0.8883387216521839,10,3,0.8910730812163152,4,9,0.801737810948179
16,6,7,0.7058963517814674,6,1,0.4669455879937501,1,4,0.5215955820745445,13,12,0.732615317126538,1,11,0.5227263924652827,3,6,0.6877352362988702,9,11,0.7537097582096075,10,12,0.8885932240091424,3,10,0.8920318748281857,1,6,0.4669455879937501,3,4,0.7453857748860335,2,5,0.7298793069468315,9,12,0.8874372264158651,1,13,0.416408688127422,2,7,0.8518924625499212,5,8,0.8021795276511481,12,10,0.8885932240091424,5,13,0.5061643059540518,7,1,0.6959714246284827,8,4,0.8008621056734735,10,8,0.8885932240206279,1,8,0.7343566844198272,12,10,0.8885932240091424,7,9,0.8876847234120303,5,2,0.7298793069468315,2,6,0.6694073350022117,13,3,0.6604756718539819
17,8,12,0.8854823562848587,1,12,0.7248750559370094,11,8,0.7461110901367045,6,12,0.7364416512719524,9,13,0.7243038243907368,8,9,0.8847974349917301,8,9,0.8847974349917301,2,3,0.8326750177055804,2,3,0.8326750177055804,7,1,0.6840647113879069,3,4,0.7332013032717785,2,4,0.7159066855503131,3,12,0.8849592701197596,11,6,0.5059552280491144,9,11,0.7483494115254687,12,10,0.8857422377048026,3,7,0.8568512074127744,2,12,0.8706396247340256,10,5,0.7941993472544805,7,10,0.8817306489449918,10,8,0.8857422377704812,1,8,0.7248750565791504,1,9,0.7290632713194622,1,4,0.5063303290872513,11,13,0.5048929483092606,7,5,0.7512599595224764,3,10,0.8854975256407908
18,4,8,0.788274120089759,6,13,0.3886327249576639,8,9,0.8787044028987465,5,6,0.5489433115007609,1,9,0.7229429134373785,11,5,0.634173941903507,5,10,0.7903976452159012,6,7,0.6861685480672534,2,6,0.6487020290085592,7,2,0.8387612029047444,1,2,0.6443455262210682,2,3,0.8296689454426951,9,10,0.8789390215072699,8,13,0.7147725712840053,6,12,0.7314531312311787,1,8,0.7188218132262294,5,8,0.7896395106759769,6,7,0.6861685480672534,2,5,0.7148005922032753,8,12,0.8794582889284832,10,8,0.8797145587759652,1,8,0.7188218132262294,2,9,0.8681168075816312,5,1,0.5047922116861951,3,5,0.732391963606843,2,8,0.8660087757140855,2,13,0.6211331961280895
19,9,12,0.8800364755129596,1,2,0.6485990119176019,4,9,0.7946617979679285,1,6,0.4486151752246189,10,12,0.8810996491265565,7,11,0.7260962716569732,8,12,0.8808540407602896,7,8,0.8781726856110489,3,5,0.7360080239830081,3,6,0.6729334732984862,12,11,0.7397567294550326,10,1,0.7229546455930009,3,8,0.8828474706003632,8,7,0.8781726856110489,1,6,0.4486151752246189,10,13,0.72020461564159,2,10,0.8689688610711295,13,5,0.490698003537884,7,13,0.6676335326611442,2,10,0.8689688610711295,10,8,0.8810996491608138,1,8,0.7220911261917791,4,10,0.7918807507662752,5,9,0.7960081891791555,10,11,0.7403025931459559,3,5,0.7360080239830081,4,5,0.5626279571892338
20,2,4,0.7235658396960325,1,12,0.7265324452039382,8,9,0.8827474705625843,2,3,0.8395569826603192,3,6,0.6865292636274333,7,9,0.8834899381764498,3,8,0.8872887876851512,10,7,0.882914648275559,4,8,0.7951511509699318,1,2,0.6554768545615501,2,6,0.668458730083284,3,2,0.8395569826603192,12,13,0.7294484885164396,1,11,0.5109550923604573,2,11,0.7122739639742129,4,6,0.5657488176428507,8,10,0.8839021361401544,1,7,0.6887221034295243,1,8,0.7265324457438185,6,8,0.7483607929043141,10,8,0.8839021361401544,1,8,0.7265324457438185,8,13,0.7294484893499706,2,6,0.668458730083284,6,8,0.7483607929043141,5,12,0.7965221333008505,6,1,0.4623678221011513
21,3,13,0.6403914472340608,5,6,0.5487037306775815,3,10,0.876400565050939,2,5,0.7088527904090185,3,5,0.7260332129144695,5,12,0.7817040391719015,1,4,0.491793684794181,2,7,0.8355828971957682,6,8,0.7331312005409448,3,4,0.7245812627172873,9,10,0.8725127628721183,1,4,0.491793684794181,8,12,0.8731115113882887,5,1,0.4941492190114239,6,13,0.3938945128151035,10,9,0.8725127628721183,7,2,0.8355828971957682,3,4,0.7245812627172873,7,10,0.8715140271235641,1,3,0.6554866364647651,10,8,0.8733557903436215,1,8,0.7090247814626481,8,11,0.7269133825553431,2,5,0.7088527904090185,6,10,0.7340507938758865,9,4,0.78381204410898,2,6,0.6518102956745375
22,2,3,0.8280317148380576,4,5,0.5540295990095676,11,12,0.7219759911527481,7,10,0.8693791848671167,8,6,0.7344623532845627,6,7,0.691557272481885,2,8,0.8605224004707124,8,2,0.8605224004707124,11,4,0.6191709901439937,1,3,0.6569865730529675,6,1,0.444412225316555,1,4,0.4951388488771483,4,3,0.7275222861668686,5,10,0.7830335342739642,1,7,0.6711304831621298,2,8,0.8605224004707124,8,5,0.7823116717416219,5,7,0.7437446485872707,7,3,0.8501044238193031,3,4,0.7275222861668686,10,8,0.8695791870059795,1,8,0.7080746795393842,1,5,0.4975070429189084,1,6,0.444412225316555,8,2,0.8605224004707124,5,8,0.7823116717416219,12,4,0.7808849299788281
23,8,11,0.7371888942683418,1,5,0.5219864130847032,7,13,0.6921137912478004,6,7,0.71956987204365,6,9,0.7637488854458816,2,3,0.8450555367843733,8,9,0.8763236115719097,2,4,0.7298136686072823,1,3,0.6790167758028866,7,13,0.6921137912478004,12,1,0.72637477570151,3,2,0.8450555367843733,1,6,0.4792019677041826,7,8,0.880361163335311,8,1,0.726374776123837,11,12,0.7371888941875872,2,4,0.7298136686072823,10,12,0.8777613724464937,8,11,0.7371888942683418,10,12,0.8777613724464937,10,8,0.8777613723528298,1,8,0.726374776123837,8,9,0.8763236115719097,2,8,0.8739259931261072,3,6,0.702810076155129,4,10,0.7960931023265322,9,1,0.7299859338917468
24,2,6,0.683672050619456,4,6,0.5818391644925978,6,9,0.7645645787423287,3,6,0.7014063003798168,2,9,0.8810506158328971,2,4,0.7332714636453943,9,13,0.7456714417985459,6,7,0.7187832349544068,1,8,0.7347894912424389,6,9,0.7645645787423287,4,7,0.7642102342612156,3,10,0.8930345437571481,3,4,0.7494541624007729,4,6,0.5818391644925978,1,11,0.5228333159835135,8,5,0.8029070901758311,1,8,0.7347894912424389,2,8,0.8793262997286403,8,10,0.8860363991703832,6,8,0.7604687711340693,10,8,0.8860363991703832,1,8,0.7347894912424389,2,12,0.8793262994371914,6,1,0.4802376490951658,6,7,0.7187832349544068,5,8,0.8029070901758311,3,4,0.7494541624007729
25,1,5,0.526441667920382,10,7,0.8859644181917282,6,3,0.6992924162764727,8,13,0.7392903112790232,1,6,0.4776960498090308,13,2,0.6517849655585249,3,5,0.7497792694377317,3,11,0.7351499680947964,2,7,0.8546763057234465,6,8,0.7584045291925823,5,9,0.8051721597898326,4,7,0.7631743067919057,3,10,0.8918231663517763,4,8,0.8006290154103328,2,4,0.7321780191644781,3,4,0.748418263978249,2,8,0.8780595754142435,10,12,0.8848949481836357,5,11,0.6503918932177274,8,3,0.8913530596926951,10,8,0.884894948129991,1,8,0.7331215126531356,11,13,0.5260208926633511,8,12,0.8847063089627932,10,12,0.8848949481836357,2,8,0.8780595754142435,1,3,0.6831519487387463
